m95,22.73 22.73 22.73 0.00 0.00 0.00,None,,m95,m95,95,-,-,-1e20   1e20
m96,11.61 11.61 11.61 0.00 0.00 0.00,None,,m96,m96,96,-,-,-1e20   1e20
m97,11.65 11.65 11.65 0.00 0.00 0.00,None,,m97,m97,97,-,-,-1e20   1e20
m98,22.7 22.7 22.7 0.00 0.00 0.00,None,,m98,m98,98,-,-,-1e20   1e20
m99,22.7 22.7 22.7 0.00 0.00 0.00,None,,m99,m99,99,-,-,-1e20   1e20
m100,11.65 11.65 11.65 0.00 0.00 0.00,None,,m100,m100,100,-,-,-1e20   1e20
m101,22.66 22.66 22.66 0.00 0.00 0.00,None,,m101,m101,101,-,-,-1e20   1e20
m102,44.9 44.9 44.9 0.00 0.00 0.00,None,,m102,m102,102,-,-,-1e20   1e20
m103,44.9 44.9 44.9 0.00 0.00 0.00,None,,m103,m103,103,-,-,-1e20   1e20
m104,22.66 22.66 22.66 0.00 0.00 0.00,None,,m104,m104,104,-,-,-1e20   1e20
m105,22.66 22.66 22.66 0.00 0.00 0.00,None,,m105,m105,105,-,-,-1e20   1e20
m106,44.9 44.9 44.9 0.00 0.00 0.00,None,,m106,m106,106,-,-,-1e20   1e20
m107,44.9 44.9 44.9 0.00 0.00 0.00,None,,m107,m107,107,-,-,-1e20   1e20
m108,22.66 22.66 22.66 0.00 0.00 0.00,None,,m108,m108,108,-,-,-1e20   1e20
m109,11.65 11.65 11.65 0.00 0.00 0.00,None,,m109,m109,109,-,-,-1e20   1e20
m110,22.7 22.7 22.7 0.00 0.00 0.00,None,,m110,m110,110,-,-,-1e20   1e20
m111,22.7 22.7 22.7 0.00 0.00 0.00,None,,m111,m111,111,-,-,-1e20   1e20
m112,11.65 11.65 11.65 0.00 0.00 0.00,None,,m112,m112,112,-,-,-1e20   1e20
m113,11.62 11.62 11.62 0.00 0.00 0.00,None,,m113,m113,113,-,-,-1e20   1e20
m114,22.44 22.44 22.44 0.00 0.00 0.00,None,,m114,m114,114,-,-,-1e20   1e20
m115,22.44 22.44 22.44 0.00 0.00 0.00,None,,m115,m115,115,-,-,-1e20   1e20
m116,11.62 11.62 11.62 0.00 0.00 0.00,None,,m116,m116,116,-,-,-1e20   1e20
m117,22.25 22.25 22.25 0.00 0.00 0.00,None,,m117,m117,117,-,-,-1e20   1e20
m118,44.06 44.06 44.06 0.00 0.00 0.00,None,,m118,m118,118,-,-,-1e20   1e20
m119,44.06 44.06 44.06 0.00 0.00 0.00,None,,m119,m119,119,-,-,-1e20   1e20
m120,22.25 22.25 22.25 0.00 0.00 0.00,None,,m120,m120,120,-,-,-1e20   1e20
m121,22.25 22.25 22.25 0.00 0.00 0.00,None,,m121,m121,121,-,-,-1e20   1e20
m122,44.06 44.06 44.06 0.00 0.00 0.00,None,,m122,m122,122,-,-,-1e20   1e20
m123,44.06 44.06 44.06 0.00 0.00 0.00,None,,m123,m123,123,-,-,-1e20   1e20
m124,22.25 22.25 22.25 0.00 0.00 0.00,None,,m124,m124,124,-,-,-1e20   1e20
m125,11.62 11.62 11.62 0.00 0.00 0.00,None,,m125,m125,125,-,-,-1e20   1e20
m126,22.44 22.44 22.44 0.00 0.00 0.00,None,,m126,m126,126,-,-,-1e20   1e20
m127,22.44 22.44 22.44 0.00 0.00 0.00,None,,m127,m127,127,-,-,-1e20   1e20
m128,11.62 11.62 11.62 0.00 0.00 0.00,None,,m128,m128,128,-,-,-1e20   1e20
m129,11.79 11.79 11.79 0.00 0.00 0.00,None,,m129,m129,129,-,-,-1e20   1e20
m130,22.75 22.75 22.75 0.00 0.00 0.00,None,,m130,m130,130,-,-,-1e20   1e20
m131,22.75 22.75 22.75 0.00 0.00 0.00,None,,m131,m131,131,-,-,-1e20   1e20
m132,11.79 11.79 11.79 0.00 0.00 0.00,None,,m132,m132,132,-,-,-1e20   1e20
m133,22.27 22.27 22.27 0.00 0.00 0.00,None,,m133,m133,133,-,-,-1e20   1e20
m134,43.87 43.87 43.87 0.00 0.00 0.00,None,,m134,m134,134,-,-,-1e20   1e20
m135,43.87 43.87 43.87 0.00 0.00 0.00,None,,m135,m135,135,-,-,-1e20   1e20
m136,22.27 22.27 22.27 0.00 0.00 0.00,None,,m136,m136,136,-,-,-1e20   1e20
m137,22.27 22.27 22.27 0.00 0.00 0.00,None,,m137,m137,137,-,-,-1e20   1e20
m138,43.87 43.87 43.87 0.00 0.00 0.00,None,,m138,m138,138,-,-,-1e20   1e20
m139,43.87 43.87 43.87 0.00 0.00 0.00,None,,m139,m139,139,-,-,-1e20   1e20
m140,22.27 22.27 22.27 0.00 0.00 0.00,None,,m140,m140,140,-,-,-1e20   1e20
m141,11.79 11.79 11.79 0.00 0.00 0.00,None,,m141,m141,141,-,-,-1e20   1e20
m142,22.75 22.75 22.75 0.00 0.00 0.00,None,,m142,m142,142,-,-,-1e20   1e20
m143,22.75 22.75 22.75 0.00 0.00 0.00,None,,m143,m143,143,-,-,-1e20   1e20
m144,11.79 11.79 11.79 0.00 0.00 0.00,None,,m144,m144,144,-,-,-1e20   1e20
m145,11.44 11.44 11.44 0.00 0.00 0.00,None,,m145,m145,145,-,-,-1e20   1e20
m146,22.69 22.69 22.69 0.00 0.00 0.00,None,,m146,m146,146,-,-,-1e20   1e20
m147,22.69 22.69 22.69 0.00 0.00 0.00,None,,m147,m147,147,-,-,-1e20   1e20
m148,11.44 11.44 11.44 0.00 0.00 0.00,None,,m148,m148,148,-,-,-1e20   1e20
m149,22.48 22.48 22.48 0.00 0.00 0.00,None,,m149,m149,149,-,-,-1e20   1e20
m150,43.78 43.78 43.78 0.00 0.00 0.00,None,,m150,m150,150,-,-,-1e20   1e20
m151,43.78 43.78 43.78 0.00 0.00 0.00,None,,m151,m151,151,-,-,-1e20   1e20
m152,22.48 22.48 22.48 0.00 0.00 0.00,None,,m152,m152,152,-,-,-1e20   1e20
