Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
29/86/13,0,0,22.201,124.367,0,2.15
29/86/14,0,0,16.696,114.366,0,2.15
30/77/6,0,0,24.759,-4.697,0,3.525
30/77/7,0,0,38.496,-7.278,0,3.525
30/77/8,0,0,28.038,-5.391,0,3.525
30/77/9,0,0,25.696,-4.895,0,3.525
30/77/13,0,0,23.497,-3.804,0,3.525
30/77/14,0,0,24.617,-5.293,0,3.525
30/86/6,0,0,-34.526,-21.911,0,3.525
30/86/7,0,0,-54.111,-34.799,0,3.525
30/86/8,0,0,-39.284,-25.212,0,3.525
30/86/9,0,0,-35.885,-22.854,0,3.525
30/86/13,0,0,-34.067,-22.434,0,3.525
30/86/14,0,0,-32.946,-19.974,0,3.525
32/84/6,0,0,106.342,-119.065,0,1.825
32/84/7,0,0,161.007,-180.418,0,1.825
32/84/8,0,0,116.471,-130.139,0,1.825
32/84/9,0,0,109.236,-122.229,0,1.825
32/84/13,0,0,107.221,-123.16,0,1.825
32/84/14,0,0,101.121,-110.224,0,1.825
32/85/6,0,0,90.552,60.6,0,1.825
32/85/7,0,0,137.867,92.305,0,1.825
32/85/8,0,0,99.515,66.948,0,1.825
32/85/9,0,0,93.113,62.414,0,1.825
32/85/13,0,0,91.681,58.338,0,1.825
32/85/14,0,0,85.581,60.142,0,1.825
33/76/6,0,0,10.788,58.757,0,3.525
33/76/7,0,0,16.917,90.395,0,3.525
33/76/8,0,0,12.409,65.397,0,3.525
33/76/9,0,0,11.251,60.654,0,3.525
33/76/13,0,0,10.143,57.748,0,3.525
33/76/14,0,0,10.738,56.92,0,3.525
33/85/6,0,0,-50.669,-20.36,0,3.525
33/85/7,0,0,-78.295,-31.825,0,3.525
33/85/8,0,0,-56.876,-23.162,0,3.525
33/85/9,0,0,-52.442,-21.161,0,3.525
33/85/13,0,0,-49.636,-20.394,0,3.525
33/85/14,0,0,-49.041,-19.126,0,3.525
34/83/6,0,0,18.579,-3.863,0,2
34/83/7,0,0,28.317,-6.053,0,2
34/83/8,0,0,20.692,-4.452,0,2
34/83/9,0,0,19.182,-4.032,0,2
34/83/13,0,0,19.767,-5.456,0,2
34/83/14,0,0,16.485,-2.018,0,2
34/84/6,0,0,-3.24,8.87,0,2
34/84/7,0,0,-4.223,13.897,0,2
34/84/8,0,0,-3.099,10.134,0,2
34/84/9,0,0,-3.2,9.231,0,2
34/84/13,0,0,-1.629,10.163,0,2
34/84/14,0,0,-4.912,7.035,0,2
36/82/6,0,0,-49.167,7.658,0,1.225
36/82/7,0,0,-74.501,11.771,0,1.225
36/82/8,0,0,-53.87,8.657,0,1.225
36/82/9,0,0,-50.511,7.943,0,1.225
36/82/13,0,0,-45.008,8.965,0,1.225
36/82/14,0,0,-51.31,5.922,0,1.225
36/83/6,0,0,-61.507,-58.736,0,1.225
36/83/7,0,0,-92.803,-88.485,0,1.225
36/83/8,0,0,-67.261,-63.927,0,1.225
36/83/9,0,0,-63.151,-60.219,0,1.225
36/83/13,0,0,-57.123,-52.242,0,1.225
36/83/14,0,0,-63.425,-63.005,0,1.225
38/81/6,0,0,-17.954,74.31,0,2.35
38/81/7,0,0,-27.24,111.903,0,2.35
38/81/8,0,0,-19.288,80.448,0,2.35
38/81/9,0,0,-18.335,76.064,0,2.35
38/81/13,0,0,-15.081,68.566,0,2.35
38/81/14,0,0,-20.255,77.424,0,2.35
38/82/6,0,0,-41.093,4.93,0,2.35
38/82/7,0,0,-61.5,7.634,0,2.35
38/82/8,0,0,-44.359,5.663,0,2.35
38/82/9,0,0,-42.026,5.14,0,2.35
38/82/13,0,0,-37.806,6.424,0,2.35
38/82/14,0,0,-42.98,3.123,0,2.35
39/73/6,0,0,36.499,-27.606,0,2.7
39/73/7,0,0,56.6,-42.387,0,2.7
39/73/8,0,0,41.089,-30.732,0,2.7
39/73/9,0,0,37.81,-28.499,0,2.7
39/73/13,0,0,36.079,-27.934,0,2.7
39/73/14,0,0,34.951,-25.939,0,2.7
39/82/6,0,0,-8.074,4.259,0,2.7
39/82/7,0,0,-13,6.121,0,2.7
39/82/8,0,0,-9.51,4.389,0,2.7
39/82/9,0,0,-8.484,4.296,0,2.7
39/82/13,0,0,-7.202,4.757,0,2.7
39/82/14,0,0,-8.33,3.706,0,2.7
40/80/6,0,0,68.295,-53.83,0,2.675
40/80/7,0,0,102.757,-81.218,0,2.675
40/80/8,0,0,74.207,-58.543,0,2.675
40/80/9,0,0,69.984,-55.177,0,2.675
40/80/13,0,0,68.899,-56.422,0,2.675
40/80/14,0,0,65.157,-49.218,0,2.675
40/81/6,0,0,39.978,90.986,0,2.675
40/81/7,0,0,60.612,137.288,0,2.675
40/81/8,0,0,43.386,98.739,0,2.675
40/81/9,0,0,40.952,93.201,0,2.675
40/81/13,0,0,41.119,90.726,0,2.675
40/81/14,0,0,37.377,87.922,0,2.675
41/68/6,0,0,38.901,-19.147,0,4.325
41/68/7,0,0,60.274,-29.56,0,4.325
41/68/8,0,0,43.914,-21.629,0,4.325
41/68/9,0,0,40.333,-19.856,0,4.325
41/68/13,0,0,39.437,-22.12,0,4.325
41/68/14,0,0,36.216,-15.111,0,4.325
41/81/6,0,0,-44.117,-30.429,0,4.325
41/81/7,0,0,-68.657,-47.689,0,4.325
41/81/8,0,0,-49.879,-34.528,0,4.325
41/81/9,0,0,-45.764,-31.6,0,4.325
41/81/13,0,0,-41.272,-26.09,0,4.325
41/81/14,0,0,-44.493,-33.011,0,4.325
43/67/6,0,0,29.466,-17.326,0,4.325
43/67/7,0,0,44.435,-26.258,0,4.325
43/67/8,0,0,32.463,-19.241,0,4.325
43/67/9,0,0,30.322,-17.873,0,4.325
43/67/13,0,0,31.544,-21.814,0,4.325
43/67/14,0,0,26.103,-12.016,0,4.325
43/80/6,0,0,-26.358,-10.606,0,4.325
43/80/7,0,0,-39.679,-15.973,0,4.325
43/80/8,0,0,-28.955,-11.655,0,4.325
43/80/9,0,0,-27.1,-10.906,0,4.325
43/80/13,0,0,-23.081,-3.512,0,4.325
43/80/14,0,0,-28.523,-17.25,0,4.325
45/78/6,0,0,-30.332,85.078,0,2.775
45/78/7,0,0,-45.362,129.362,0,2.775
45/78/8,0,0,-31.862,92.2,0,2.775
45/78/9,0,0,-30.769,87.113,0,2.775
45/78/13,0,0,-28.956,82.499,0,2.775
45/78/14,0,0,-31.052,84.604,0,2.775
45/79/6,0,0,-83.663,-81.298,0,2.775
45/79/7,0,0,-128.191,-124.498,0,2.775
45/79/8,0,0,-92.118,-89.293,0,2.775
45/79/9,0,0,-86.079,-83.583,0,2.775
45/79/13,0,0,-80.803,-77.729,0,2.775
45/79/14,0,0,-82.9,-81.442,0,2.775
46/72/6,0,0,7.957,0.469,0,2.45
46/72/7,0,0,11.724,0.77,0,2.45
46/72/8,0,0,8.561,0.543,0,2.45
46/72/9,0,0,8.13,0.491,0,2.45
46/72/13,0,0,4.398,4.613,0,2.45
46/72/14,0,0,11.257,-3.706,0,2.45
46/79/6,0,0,-16.723,-10.269,0,2.45
46/79/7,0,0,-24.881,-15.347,0,2.45
46/79/8,0,0,-18.22,-11.289,0,2.45
46/79/9,0,0,-17.151,-10.56,0,2.45
46/79/13,0,0,-19.832,-14.293,0,2.45
46/79/14,0,0,-12.973,-5.808,0,2.45
48/77/6,0,0,-6.582,58.089,0,1
48/77/7,0,0,-10.866,88.668,0,1
48/77/8,0,0,-8.523,63.553,0,1
48/77/9,0,0,-7.137,59.65,0,1
48/77/13,0,0,-5.069,57.969,0,1
48/77/14,0,0,-7.263,55.866,0,1
48/78/6,0,0,-17.978,46.012,0,1
48/78/7,0,0,-28.271,69.422,0,1
48/78/8,0,0,-21.21,48.921,0,1
48/78/9,0,0,-18.901,46.843,0,1
48/78/13,0,0,-16.188,47.537,0,1
48/78/14,0,0,-18.382,43.24,0,1
49/71/6,0,0,32.723,-20.723,0,2.45
49/71/7,0,0,50.207,-31.673,0,2.45
49/71/8,0,0,36.168,-22.731,0,2.45
49/71/9,0,0,33.707,-21.297,0,2.45
49/71/13,0,0,31.53,-20.324,0,2.45
49/71/14,0,0,32.438,-20.262,0,2.45
49/78/6,0,0,3.264,23.36,0,2.45
49/78/7,0,0,4.528,35.377,0,2.45
49/78/8,0,0,2.932,25.167,0,2.45
49/78/9,0,0,3.169,23.876,0,2.45
49/78/13,0,0,2.881,21.83,0,2.45
49/78/14,0,0,3.789,24.116,0,2.45
51/76/6,0,0,45.067,-11.726,0,2.15
51/76/7,0,0,68.85,-17.998,0,2.15
51/76/8,0,0,49.55,-12.854,0,2.15
51/76/9,0,0,46.348,-12.048,0,2.15
51/76/13,0,0,44.643,-11.543,0,2.15
51/76/14,0,0,43.57,-11.425,0,2.15
51/77/6,0,0,18.177,58.384,0,2.15
51/77/7,0,0,27.629,89.093,0,2.15
51/77/8,0,0,19.515,63.839,0,2.15
51/77/9,0,0,18.559,59.943,0,2.15
51/77/13,0,0,18.427,58.31,0,2.15
51/77/14,0,0,17.354,56.12,0,2.15
52/74/6,0,0,68.803,-14.447,0,1.175
52/74/7,0,0,105.514,-22.059,0,1.175
52/74/8,0,0,76.356,-15.947,0,1.175
52/74/9,0,0,70.961,-14.876,0,1.175
52/74/13,0,0,67.424,-14.021,0,1.175
52/74/14,0,0,66.945,-14.231,0,1.175
52/76/6,0,0,55.855,60.019,0,1.175
52/76/7,0,0,85.767,92.275,0,1.175
52/76/8,0,0,61.958,66.731,0,1.175
52/76/9,0,0,57.599,61.937,0,1.175
52/76/13,0,0,54.787,58.967,0,1.175
52/76/14,0,0,54.308,58.195,0,1.175
53/74/6,0,0,-64.538,66.563,0,1.8
53/74/7,0,0,-99.504,102.609,0,1.8
53/74/8,0,0,-72.054,74.296,0,1.8
53/74/9,0,0,-66.686,68.773,0,1.8
53/74/13,0,0,-62.463,65.488,0,1.8
53/74/14,0,0,-63.393,64.324,0,1.8
53/75/6,0,0,-91.713,-77.144,0,1.8
53/75/7,0,0,-141.646,-119.328,0,1.8
53/75/8,0,0,-102.717,-86.554,0,1.8
53/75/9,0,0,-94.857,-79.833,0,1.8
53/75/13,0,0,-88.89,-73.709,0,1.8
53/75/14,0,0,-89.82,-76.547,0,1.8
54/70/6,0,0,-47.426,33.716,0,1.275
54/70/7,0,0,-72.917,51.911,0,1.275
54/70/8,0,0,-52.789,37.589,0,1.275
54/70/9,0,0,-48.958,34.822,0,1.275
54/70/13,0,0,-48.154,32.171,0,1.275
54/70/14,0,0,-44.399,33.601,0,1.275
54/75/6,0,0,-63.768,-37.825,0,1.275
54/75/7,0,0,-98.146,-58.184,0,1.275
54/75/8,0,0,-71.155,-42.181,0,1.275
54/75/9,0,0,-65.879,-39.07,0,1.275
54/75/13,0,0,-64.063,-40.001,0,1.275
54/75/14,0,0,-60.308,-33.783,0,1.275
56/73/6,0,0,66.022,-68.538,0,3.05
56/73/7,0,0,102.411,-106.241,0,3.05
56/73/8,0,0,74.388,-77.081,0,3.05
56/73/9,0,0,68.412,-70.979,0,3.05
56/73/13,0,0,64.934,-68.348,0,3.05
56/73/14,0,0,63.526,-65.066,0,3.05
56/74/6,0,0,4.264,51.748,0,3.05
56/74/7,0,0,6.01,79.936,0,3.05
56/74/8,0,0,4.302,58.033,0,3.05
56/74/9,0,0,4.275,53.544,0,3.05
56/74/13,0,0,4.961,50.908,0,3.05
56/74/14,0,0,3.552,49.894,0,3.05
57/69/6,0,0,-31.097,32.387,0,1.625
57/69/7,0,0,-47.4,49.664,0,1.625
57/69/8,0,0,-34.174,35.864,0,1.625
57/69/9,0,0,-31.976,33.381,0,1.625
57/69/13,0,0,-28.847,31.612,0,1.625
57/69/14,0,0,-32.029,31.673,0,1.625
57/73/6,0,0,-58.268,-40.73,0,1.625
57/73/7,0,0,-89.642,-62.49,0,1.625
57/73/8,0,0,-64.9,-45.219,0,1.625
57/73/9,0,0,-60.163,-42.012,0,1.625
57/73/13,0,0,-55.256,-37.212,0,1.625
57/73/14,0,0,-58.438,-42.323,0,1.625
59/71/6,0,0,0.99,43.718,0,2.775
59/71/7,0,0,1.678,67.303,0,2.775
59/71/8,0,0,1.318,48.705,0,2.775
59/71/9,0,0,1.084,45.143,0,2.775
59/71/13,0,0,1.253,42.315,0,2.775
59/71/14,0,0,0.587,42.985,0,2.775
59/72/6,0,0,-45.316,-22.998,0,2.775
59/72/7,0,0,-69.976,-35.755,0,2.775
59/72/8,0,0,-50.831,-26.011,0,2.775
59/72/9,0,0,-46.892,-23.859,0,2.775
59/72/13,0,0,-43.801,-21.762,0,2.775
59/72/14,0,0,-44.467,-22.942,0,2.775
60/66/6,0,0,13.349,-13.267,0,2
60/66/7,0,0,19.818,-20.079,0,2
60/66/8,0,0,14.565,-14.7,0,2
60/66/9,0,0,13.696,-13.676,0,2
60/66/13,0,0,8.694,-8.699,0,2
60/66/14,0,0,17.482,-17.221,0,2
60/72/6,0,0,-4.751,-4.67,0,2
60/72/7,0,0,-6.807,-7.068,0,2
60/72/8,0,0,-4.935,-5.07,0,2
60/72/9,0,0,-4.804,-4.784,0,2
60/72/13,0,0,-9.106,-9.11,0,2
60/72/14,0,0,-0.318,-0.058,0,2
62/70/6,0,0,49.644,-11.181,0,1.35
62/70/7,0,0,76.251,-17.189,0,1.35
62/70/8,0,0,55.246,-12.451,0,1.35
62/70/9,0,0,51.244,-11.544,0,1.35
62/70/13,0,0,48.323,-11.024,0,1.35
62/70/14,0,0,48.564,-10.795,0,1.35
62/71/6,0,0,33.713,46.684,0,1.35
62/71/7,0,0,51.885,71.847,0,1.35
62/71/8,0,0,37.487,51.988,0,1.35
62/71/9,0,0,34.791,48.199,0,1.35
62/71/13,0,0,32.784,45.27,0,1.35
62/71/14,0,0,33.024,45.824,0,1.35
63/64/6,0,0,33.323,-21.472,0,2
