Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 34/ 85/ 7 (C),0,0,-48.76,-16.63,0,3.525
 35/ 83/ 6 (C),0,0,21.57,-34.8,0,2
 35/ 83/ 7 (C),0,0,13.99,-22.82,0,2
 35/ 84/ 6 (C),0,0,-13.06,-34.8,0,2
 35/ 84/ 7 (C),0,0,-8.83,-22.82,0,2
 36/ 51/ 6 (C),736.23,-7.84,-71.81,-0.51,-11.73,2.8
 36/ 51/ 7 (C),490.01,-5,-47,-0.33,-7.49,2.8
 36/ 84/ 6 (C),721.11,-7.84,-71.81,-0.51,10.23,2.8
 36/ 84/ 7 (C),478.81,-5,-47,-0.33,6.51,2.8
 37/ 82/ 6 (C),0,0,-77.38,1.69,0,1.225
 37/ 82/ 7 (C),0,0,-50.58,0.85,0,1.225
 37/ 83/ 6 (C),0,0,-96.9,1.69,0,1.225
 37/ 83/ 7 (C),0,0,-63.53,0.85,0,1.225
 38/ 50/ 6 (C),608.25,0.6,22.14,-0.51,0.75,2.8
 38/ 50/ 7 (C),403.01,0.45,14.62,-0.33,0.56,2.8
 38/ 83/ 6 (C),593.13,0.6,22.14,-0.51,-0.93,2.8
 38/ 83/ 7 (C),391.81,0.45,14.62,-0.33,-0.7,2.8
 39/ 81/ 6 (C),0,0,-22.89,6.25,0,2.35
 39/ 81/ 7 (C),0,0,-15.09,4.07,0,2.35
 39/ 82/ 6 (C),0,0,-59.46,6.25,0,2.35
 39/ 82/ 7 (C),0,0,-39.4,4.07,0,2.35
 40/ 73/ 6 (C),0,0,64.88,25.16,0,2.7
 40/ 73/ 7 (C),0,0,41.5,16.41,0,2.7
 40/ 82/ 6 (C),0,0,-17.92,25.16,0,2.7
 40/ 82/ 7 (C),0,0,-11.18,16.41,0,2.7
 41/ 80/ 6 (C),0,0,121.47,-0.76,0,2.675
 41/ 80/ 7 (C),0,0,79.96,-0.39,0,2.675
 41/ 81/ 6 (C),0,0,76.58,-0.76,0,2.675
 41/ 81/ 7 (C),0,0,50.31,-0.39,0,2.675
 42/ 68/ 6 (C),0,0,69.67,-0.66,0,4.325
 42/ 68/ 7 (C),0,0,44.28,-0.45,0,4.325
 42/ 81/ 6 (C),0,0,-74.98,-0.66,0,4.325
 42/ 81/ 7 (C),0,0,-47.39,-0.45,0,4.325
 43/ 48/ 6 (C),30.86,-22.06,-20.16,-0.51,-33.8,2.8
 43/ 48/ 7 (C),22.16,-13.76,-13.2,-0.33,-21.09,2.8
 43/ 81/ 6 (C),15.74,-22.06,-20.16,-0.51,27.97,2.8
 43/ 81/ 7 (C),10.96,-13.76,-13.2,-0.33,17.45,2.8
 44/ 67/ 6 (C),0,0,44.04,0.64,0,4.325
 44/ 67/ 7 (C),0,0,28.64,0.35,0,4.325
 44/ 80/ 6 (C),0,0,-45.09,0.64,0,4.325
 44/ 80/ 7 (C),0,0,-29.35,0.35,0,4.325
 45/ 47/ 6 (C),666.69,-12.82,-51.73,-0.51,-18.83,2.8
 45/ 47/ 7 (C),444.29,-8.24,-33.98,-0.33,-12.1,2.8
 45/ 80/ 6 (C),651.57,-12.82,-51.73,-0.51,17.07,2.8
 45/ 80/ 7 (C),433.09,-8.24,-33.98,-0.33,10.97,2.8
 46/ 78/ 6 (C),0,0,-57.08,-9.71,0,2.775
 46/ 78/ 7 (C),0,0,-38.49,-6.4,0,2.775
 46/ 79/ 6 (C),0,0,-150,-9.71,0,2.775
 46/ 79/ 7 (C),0,0,-97.38,-6.4,0,2.775
 47/ 72/ 6 (C),0,0,2.85,10.6,0,2.45
 47/ 72/ 7 (C),0,0,1.99,6.97,0,2.45
 47/ 79/ 6 (C),0,0,-36.2,10.6,0,2.45
 47/ 79/ 7 (C),0,0,-23.91,6.97,0,2.45
 48/ 46/ 6 (C),820.11,-8.62,59.38,-0.51,-14.04,2.8
 48/ 46/ 7 (C),541.98,-5.74,38.64,-0.33,-9.34,2.8
 48/ 79/ 6 (C),804.99,-8.62,59.38,-0.51,10.11,2.8
 48/ 79/ 7 (C),530.78,-5.74,38.64,-0.33,6.73,2.8
 49/ 71/ 6 (C),0,0,90.64,18.34,0,2.45
 49/ 71/ 7 (C),0,0,59.14,11.92,0,2.45
 49/ 78/ 6 (C),0,0,33.62,18.34,0,2.45
 49/ 78/ 7 (C),0,0,22.33,11.92,0,2.45
 50/ 45/ 6 (C),31.86,40,37.59,-0.51,60.58,2.8
 50/ 45/ 7 (C),23.54,26.23,24.4,-0.33,39.72,2.8
 50/ 78/ 6 (C),16.74,40,37.59,-0.51,-51.41,2.8
 50/ 78/ 7 (C),12.34,26.23,24.4,-0.33,-33.73,2.8
 51/ 76/ 6 (C),0,0,66.48,-7.75,0,2.15
 51/ 76/ 7 (C),0,0,43.53,-4.96,0,2.15
 51/ 77/ 6 (C),0,0,18.28,-7.75,0,2.15
 51/ 77/ 7 (C),0,0,12.34,-4.96,0,2.15
 52/ 74/ 6 (C),0,0,121.32,-50.31,0,1.175
 52/ 74/ 7 (C),0,0,78.58,-32.86,0,1.175
 52/ 76/ 6 (C),0,0,97.85,-50.31,0,1.175
 52/ 76/ 7 (C),0,0,63.28,-32.86,0,1.175
 53/ 74/ 6 (C),0,0,-116.69,-41.85,0,1.8
