Column1,Column3,Column4,Column5,Column6,Column7,Column8
50/45/8,9.59,12.769,15.475,-22.439,19.409,2.8
50/45/9,11.38,12.027,14.4,-20.88,18.278,2.8
50/45/13,11.819,10.515,12.249,-17.775,16.029,2.8
50/45/14,13.447,12.501,15.043,-21.802,18.945,2.8
50/78/6,5.796,11.731,13.969,18.857,-15.02,2.8
50/78/7,7.533,17.826,21.428,28.93,-22.82,2.8
50/78/8,3.29,12.769,15.475,20.892,-16.345,2.8
50/78/9,5.08,12.027,14.4,19.439,-15.398,2.8
50/78/13,5.519,10.515,12.249,16.523,-13.413,2.8
50/78/14,7.147,12.501,15.043,20.32,-16.058,2.8
55/42/6,661.012,-11.494,26.703,-39.194,-17.112,2.8
55/42/7,1005.73,-17.705,41.344,-60.677,-26.34,2.8
55/42/8,720.625,-12.848,30.016,-44.041,-19.11,2.8
55/42/9,678.044,-11.881,27.65,-40.579,-17.683,2.8
55/42/13,652.064,-12.347,25.646,-38.034,-18.049,2.8
55/42/14,644.411,-10.061,26.34,-38.277,-15.319,2.8
55/75/6,649.812,-11.494,26.703,35.574,15.072,2.8
55/75/7,990.61,-17.705,41.344,55.086,23.233,2.8
55/75/8,709.425,-12.848,30.016,40.005,16.865,2.8
55/75/9,666.844,-11.881,27.65,36.84,15.584,2.8
55/75/13,640.864,-12.347,25.646,33.774,16.524,2.8
55/75/14,633.211,-10.061,26.34,35.475,12.852,2.8
58/40/6,667.864,-3.131,-22.607,33.59,-4.725,2.8
58/40/7,1017.678,-4.794,-35.157,52.221,-7.222,2.8
58/40/8,728.768,-3.449,-25.559,37.949,-5.198,2.8
58/40/9,685.265,-3.222,-23.45,34.836,-4.86,2.8
58/40/13,654.064,-1.802,-22.379,32.834,-3.109,2.8
58/40/14,655.563,-4.323,-21.569,32.478,-6.139,2.8
58/73/6,656.664,-3.131,-22.607,-29.709,4.041,2.8
58/73/7,1002.558,-4.794,-35.157,-46.218,6.202,2.8
58/73/8,717.568,-3.449,-25.559,-33.617,4.46,2.8
58/73/9,674.065,-3.222,-23.45,-30.825,4.161,2.8
58/73/13,642.864,-1.802,-22.379,-29.828,1.937,2.8
58/73/14,644.363,-4.323,-21.569,-27.914,5.967,2.8
61/39/6,277.315,2.074,11.24,-16.132,4.126,2.8
61/39/7,416.027,3.126,17.363,-24.915,6.212,2.8
61/39/8,299.175,2.254,12.568,-18.036,4.478,2.8
61/39/9,283.561,2.125,11.62,-16.676,4.227,2.8
61/39/13,273.719,-1.426,10.798,-15.523,-0.808,2.8
61/39/14,271.543,5.495,11.113,-15.925,8.909,2.8
61/72/6,271.015,2.074,11.24,15.341,-1.68,2.8
61/72/7,407.522,3.126,17.363,23.701,-2.54,2.8
61/72/8,292.875,2.254,12.568,17.155,-1.832,2.8
61/72/9,277.261,2.125,11.62,15.859,-1.723,2.8
61/72/13,267.419,-1.426,10.798,14.711,3.184,2.8
61/72/14,265.243,5.495,11.113,15.193,-6.478,2.8
67/34/6,19.502,7.05,-2.455,3.455,10.583,2.8
67/34/7,27.708,10.889,-3.814,5.362,16.352,2.8
67/34/8,18.517,7.963,-2.74,3.853,11.955,2.8
67/34/9,19.22,7.31,-2.537,3.569,10.975,2.8
67/34/13,19.732,8.586,-2.502,3.524,12.791,2.8
67/34/14,19.693,5.122,-2.287,3.215,7.788,2.8
67/68/6,13.202,7.05,-2.455,-3.42,-9.156,2.8
67/68/7,19.203,10.889,-3.814,-5.317,-14.136,2.8
67/68/8,12.217,7.963,-2.74,-3.819,-10.34,2.8
67/68/9,12.92,7.31,-2.537,-3.534,-9.494,2.8
67/68/13,13.432,8.586,-2.502,-3.48,-11.251,2.8
67/68/14,13.393,5.122,-2.287,-3.188,-6.553,2.8
69/33/6,405.396,3.168,-20.934,30.279,4.437,2.8
69/33/7,609.543,4.825,-32.033,46.322,6.762,2.8
69/33/8,438.342,3.492,-23.047,33.33,4.894,2.8
69/33/9,414.809,3.261,-21.537,31.151,4.568,2.8
69/33/13,395.491,6.787,-20.645,29.836,9.499,2.8
69/33/14,401.181,-0.589,-20.316,29.414,-0.82,2.8
69/67/6,399.096,3.168,-20.934,-28.335,-4.434,2.8
69/67/7,601.038,4.825,-32.033,-43.369,-6.748,2.8
69/67/8,432.042,3.492,-23.047,-31.202,-4.884,2.8
69/67/9,408.509,3.261,-21.537,-29.154,-4.563,2.8
69/67/13,389.191,6.787,-20.645,-27.971,-9.506,2.8
69/67/14,394.881,-0.589,-20.316,-27.47,0.83,2.8
72/32/6,307.246,-4.234,6.13,-8.69,-6.653,2.8
72/32/7,460.137,-6.417,9.548,-13.53,-10.077,2.8
72/32/8,330.912,-4.641,6.934,-9.828,-7.285,2.8
72/32/9,314.008,-4.35,6.36,-9.015,-6.833,2.8
72/32/13,301.505,-7.658,6.597,-9.347,-11.446,2.8
72/32/14,302.844,-0.636,5.319,-7.544,-1.588,2.8
72/66/6,300.946,-4.234,6.13,8.475,5.202,2.8
72/66/7,451.632,-6.417,9.548,13.204,7.89,2.8
72/66/8,324.612,-4.641,6.934,9.587,5.71,2.8
72/66/9,307.708,-4.35,6.36,8.793,5.347,2.8
72/66/13,295.205,-7.658,6.597,9.124,9.995,2.8
72/66/14,296.544,-0.636,5.319,7.348,0.191,2.8
76/30/6,532.324,4.253,-13.102,18.771,5.864,2.8
76/30/7,811.151,6.627,-20.208,28.963,9.16,2.8
76/30/8,580.072,4.845,-14.671,21.026,6.7,2.8
76/30/9,545.966,4.422,-13.55,19.415,6.103,2.8
76/30/13,520.108,2.828,-11.432,16.462,4.101,2.8
76/30/14,524.076,5.424,-14.101,20.112,7.27,2.8
76/64/6,521.124,4.253,-13.102,-17.916,-6.044,2.8
76/64/7,796.031,6.627,-20.208,-27.619,-9.395,2.8
76/64/8,568.872,4.845,-14.671,-20.051,-6.866,2.8
76/64/9,534.766,4.422,-13.55,-18.526,-6.279,2.8
76/64/13,508.908,2.828,-11.432,-15.547,-3.817,2.8
76/64/14,512.876,5.424,-14.101,-19.37,-7.918,2.8
79/29/6,404.028,-11.761,-3.319,5.132,-17.468,2.8
79/29/7,616.634,-18.354,-5.143,7.943,-27.242,2.8
79/29/8,441.329,-13.336,-3.724,5.75,-19.785,2.8
79/29/9,414.685,-12.211,-3.435,5.308,-18.13,2.8
79/29/13,396.448,-11.514,-1.735,2.925,-17.156,2.8
79/29/14,395.622,-11.333,-4.73,7.073,-16.786,2.8
79/63/6,392.828,-11.761,-3.319,-4.162,15.463,2.8
79/63/7,601.514,-18.354,-5.143,-6.456,24.148,2.8
79/63/8,430.129,-13.336,-3.724,-4.678,17.555,2.8
79/63/9,403.485,-12.211,-3.435,-4.309,16.061,2.8
79/63/13,385.248,-11.514,-1.735,-1.931,15.082,2.8
79/63/14,384.422,-11.333,-4.73,-6.171,14.947,2.8
81/28/6,627.832,7.024,16.24,-23.401,10.142,2.8
81/28/7,957.249,10.781,25.072,-36.134,15.571,2.8
81/28/8,685.023,7.772,18.194,-26.221,11.224,2.8
81/28/9,644.172,7.238,16.798,-24.207,10.451,2.8
81/28/13,617.096,7.913,17.157,-24.635,11.061,2.8
81/28/14,614.057,5.814,14.484,-20.957,8.759,2.8
81/62/6,616.632,7.024,16.24,22.07,-9.525,2.8
81/62/7,942.129,10.781,25.072,34.067,-14.614,2.8
81/62/8,673.823,7.772,18.194,24.723,-10.539,2.8
81/62/9,632.972,7.238,16.798,22.828,-9.815,2.8
81/62/13,605.896,7.913,17.157,23.405,-11.095,2.8
81/62/14,602.857,5.814,14.484,19.598,-7.521,2.8
85/26/6,357.952,-0.78,-13.773,20.046,-1.248,2.8
85/26/7,538.421,-1.185,-21.295,30.979,-1.896,2.8
85/26/8,386.994,-0.898,-15.421,22.433,-1.429,2.8
85/26/9,366.25,-0.814,-14.244,20.728,-1.299,2.8
85/26/13,353.618,2.982,-12.87,18.771,4.019,2.8
