Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MY (kNm),MZ (kNm)
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,43.34,-6.25
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 92/ 6 (C),0,0,-26.87,-2.65,-15.43,0
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 92/ 6 (C),0,0,-26.87,-2.65,-15.43,0
 18/ 91/ 6 (C),0,0,20.74,-2.65,-6.93,0
 18/ 92/ 6 (C),0,0,-26.87,-2.65,-15.43,0
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 92/ 6 (C),201.2,4.06,6.69,-0.51,9.49,-6.04
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 92/ 6 (C),201.2,4.06,6.69,-0.51,9.49,-6.04
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,-9.25,5.32
 19/ 92/ 6 (C),201.2,4.06,6.69,-0.51,9.49,-6.04
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 20/ 91/ 6 (C),0,0,-34.11,2.02,-20.71,0
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 20/ 91/ 6 (C),0,0,-34.11,2.02,-20.71,0
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 20/ 91/ 6 (C),0,0,-34.11,2.02,-20.71,0
 20/ 90/ 6 (C),0,0,47.4,2.02,-46.3,0
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 91/ 6 (C),393.91,15.55,2.37,-0.51,3.93,-22.05
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 91/ 6 (C),393.91,15.55,2.37,-0.51,3.93,-22.05
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 58/ 6 (C),409.03,15.55,2.37,-0.51,-2.7,21.5
 21/ 91/ 6 (C),393.91,15.55,2.37,-0.51,3.93,-22.05
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 22/ 90/ 6 (C),0,0,-72.28,0.94,-86.84,0
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 22/ 90/ 6 (C),0,0,-72.28,0.94,-86.84,0
 22/ 90/ 6 (C),0,0,-72.28,0.94,-86.84,0
 22/ 89/ 6 (C),0,0,4.03,0.94,39.42,0
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 90/ 6 (C),547.01,10.17,15.91,-0.51,20.65,-14.39
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 90/ 6 (C),547.01,10.17,15.91,-0.51,20.65,-14.39
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 57/ 6 (C),562.13,10.17,15.91,-0.51,-23.9,14.08
 23/ 90/ 6 (C),547.01,10.17,15.91,-0.51,20.65,-14.39
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 89/ 6 (C),0,0,-2.01,0.97,49.86,0
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 89/ 6 (C),0,0,-2.01,0.97,49.86,0
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 88/ 6 (C),0,0,73.44,0.97,-81.4,0
 24/ 89/ 6 (C),0,0,-2.01,0.97,49.86,0
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 89/ 6 (C),239.04,8.65,-3.84,-0.51,-2.89,-12.65
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 89/ 6 (C),239.04,8.65,-3.84,-0.51,-2.89,-12.65
 25/ 56/ 6 (C),254.16,8.65,-3.84,-0.51,7.85,11.57
 25/ 89/ 6 (C),239.04,8.65,-3.84,-0.51,-2.89,-12.65
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 88/ 6 (C),350.31,8.49,-27.55,-0.51,-40.1,-12.13
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 88/ 6 (C),350.31,8.49,-27.55,-0.51,-40.1,-12.13
 26/ 55/ 6 (C),365.43,8.49,-27.55,-0.51,37.03,11.65
 26/ 88/ 6 (C),350.31,8.49,-27.55,-0.51,-40.1,-12.13
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
 27/ 87/ 6 (C),0,0,-122.41,0.13,-166.18,0
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
 27/ 87/ 6 (C),0,0,-122.41,0.13,-166.18,0
 27/ 87/ 6 (C),0,0,-122.41,0.13,-166.18,0
 27/ 86/ 6 (C),0,0,-43.72,0.13,147.39,0
