"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 10/ 96/ 3,-0.00,0.00,-7.49,-5.23,-0.00,3.725"
" 10/ 96/ 4,0.00,0.00,-0.04,-0.05,-0.00,3.725"
" 10/ 96/ 6,0.00,0.00,-63.54,-45.00,-0.00,3.725"
" 10/ 96/ 7,0.00,0.00,-39.40,-27.89,-0.00,3.725"
" 11/ 63/ 1,155.85,-4.37,-1.37,1.87,-6.08,2.800"
" 11/ 63/ 2,81.21,-2.45,-0.73,1.00,-3.41,2.800"
" 11/ 63/ 3,31.47,-1.35,-0.37,0.51,-1.89,2.800"
" 11/ 63/ 4,7.47,-0.03,-0.02,0.03,-0.03,2.800"
" 11/ 63/ 6,390.45,-11.54,-3.54,5.11,-16.41,2.800"
" 11/ 63/ 7,248.67,-7.20,-2.22,3.14,-10.15,2.800"
" 11/ 96/ 1,151.48,-4.37,-1.37,-1.96,6.17,2.800"
" 11/ 96/ 2,81.21,-2.45,-0.73,-1.04,3.46,2.800"
" 11/ 96/ 3,31.47,-1.35,-0.37,-0.53,1.89,2.800"
" 11/ 96/ 4,7.47,-0.03,-0.02,-0.03,0.04,2.800"
" 11/ 96/ 6,384.54,-11.54,-3.54,-5.33,16.63,2.800"
" 11/ 96/ 7,244.30,-7.20,-2.22,-3.28,10.29,2.800"
" 12/ 94/ 1,0.00,-0.00,-32.86,18.12,-0.00,1.350"
" 12/ 94/ 2,0.00,-0.00,-18.33,9.75,-0.00,1.350"
" 12/ 94/ 3,-0.00,-0.00,-10.26,5.24,-0.00,1.350"
" 12/ 94/ 4,0.00,0.00,-0.11,0.17,0.00,1.350"
" 12/ 94/ 6,0.00,-0.00,-87.42,47.41,-0.00,1.350"
" 12/ 94/ 7,0.00,-0.00,-54.31,29.58,-0.00,1.350"
" 12/ 95/ 1,0.00,-0.00,-43.99,-33.46,0.00,1.350"
" 12/ 95/ 2,0.00,-0.00,-24.23,-18.77,0.00,1.350"
" 12/ 95/ 3,-0.00,-0.00,-13.63,-10.77,0.00,1.350"
" 12/ 95/ 4,0.00,0.00,-0.11,0.02,-0.00,1.350"
" 12/ 95/ 6,0.00,-0.00,-116.34,-89.24,0.00,1.350"
" 12/ 95/ 7,0.00,-0.00,-72.34,-55.37,0.00,1.350"
" 13/ 62/ 1,300.36,2.65,8.42,-11.66,3.70,2.800"
" 13/ 62/ 2,152.27,1.31,4.54,-6.30,1.84,2.800"
" 13/ 62/ 3,59.14,0.64,2.36,-3.29,0.89,2.800"
