"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 28/ 28/ 7,731.14,-0.54,36.06,-51.64,-0.34,2.80"
" 28/ 44/ 6,1116.18,-0.85,58.05,79.40,1.85,2.80"
" 28/ 44/ 7,719.94,-0.54,36.06,49.32,1.17,2.80"
" 29/ 29/ 6,642.20,-21.99,-34.13,49.00,-31.19,2.80"
" 29/ 29/ 7,421.17,-13.95,-21.56,30.95,-19.79,2.80"
" 29/ 45/ 6,627.08,-21.99,-34.13,-46.56,30.38,2.80"
" 29/ 45/ 7,409.97,-13.95,-21.56,-29.41,19.27,2.80"
" 30/ 30/ 6,1182.03,-37.66,0.91,-2.02,-53.28,2.80"
" 30/ 30/ 7,764.49,-23.47,0.56,-1.26,-33.20,2.80"
" 30/ 46/ 6,1166.91,-37.66,0.91,0.52,52.17,2.80"
" 30/ 46/ 7,753.29,-23.47,0.56,0.30,32.51,2.80"
" 31/ 31/ 6,1182.03,-37.66,-0.91,2.02,-53.28,2.80"
" 31/ 31/ 7,764.49,-23.47,-0.56,1.26,-33.20,2.80"
" 31/ 47/ 6,1166.91,-37.66,-0.91,-0.52,52.17,2.80"
" 31/ 47/ 7,753.29,-23.47,-0.56,-0.30,32.51,2.80"
" 32/ 32/ 6,642.20,-21.99,34.13,-49.00,-31.19,2.80"
" 32/ 32/ 7,421.17,-13.95,21.56,-30.95,-19.79,2.80"
" 32/ 48/ 6,627.08,-21.99,34.13,46.56,30.38,2.80"
" 32/ 48/ 7,409.97,-13.95,21.56,29.41,19.27,2.80"
" 33/ 33/ 6,479.74,22.55,-33.38,45.86,30.91,2.80"
" 33/ 33/ 7,315.76,14.33,-21.14,29.02,19.63,2.80"
" 33/ 49/ 6,464.62,22.55,-33.38,-47.59,-32.23,2.80"
" 33/ 49/ 7,304.56,14.33,-21.14,-30.17,-20.49,2.80"
" 34/ 34/ 6,882.55,38.81,-0.83,1.11,53.26,2.80"
" 34/ 34/ 7,573.25,24.23,-0.52,0.71,33.23,2.80"
" 34/ 50/ 6,867.43,38.81,-0.83,-1.20,-55.41,2.80"
" 34/ 50/ 7,562.05,24.23,-0.52,-0.76,-34.62,2.80"
" 35/ 35/ 6,882.55,38.81,0.83,-1.11,53.26,2.80"
" 35/ 35/ 7,573.25,24.23,0.52,-0.71,33.23,2.80"
" 35/ 51/ 6,867.43,38.81,0.83,1.20,-55.41,2.80"
" 35/ 51/ 7,562.05,24.23,0.52,0.76,-34.62,2.80"
" 36/ 36/ 6,479.74,22.55,33.38,-45.86,30.91,2.80"
" 36/ 36/ 7,315.76,14.33,21.14,-29.02,19.63,2.80"
" 36/ 52/ 6,464.62,22.55,33.38,47.59,-32.23,2.80"
" 36/ 52/ 7,304.56,14.33,21.14,30.17,-20.49,2.80"
" 37/ 37/ 6,842.64,2.69,-56.86,78.30,3.57,2.80"
" 37/ 37/ 7,547.02,1.69,-35.41,48.72,2.25,2.80"
" 37/ 53/ 6,827.52,2.69,-56.86,-80.91,-3.97,2.80"
" 37/ 53/ 7,535.82,1.69,-35.41,-50.44,-2.49,2.80"
" 38/ 38/ 6,1555.31,5.17,-1.67,2.19,6.85,2.80"
" 38/ 38/ 7,996.84,3.23,-1.06,1.40,4.28,2.80"
" 38/ 54/ 6,1540.19,5.17,-1.67,-2.49,-7.63,2.80"
" 38/ 54/ 7,985.64,3.23,-1.06,-1.57,-4.76,2.80"
" 39/ 39/ 6,1555.31,5.17,1.67,-2.19,6.85,2.80"
" 39/ 39/ 7,996.84,3.23,1.06,-1.40,4.28,2.80"
" 39/ 55/ 6,1540.19,5.17,1.67,2.49,-7.63,2.80"
" 39/ 55/ 7,985.64,3.23,1.06,1.57,-4.76,2.80"
" 40/ 40/ 6,842.64,2.69,56.86,-78.30,3.57,2.80"
" 40/ 40/ 7,547.02,1.69,35.41,-48.72,2.25,2.80"
" 40/ 56/ 6,827.52,2.69,56.86,80.91,-3.97,2.80"
" 40/ 56/ 7,535.82,1.69,35.41,50.44,-2.49,2.80"
" 41/ 41/ 6,842.64,-2.69,-56.86,78.30,-3.57,2.80"
" 41/ 41/ 7,547.02,-1.69,-35.41,48.72,-2.25,2.80"
" 41/ 57/ 6,827.52,-2.69,-56.86,-80.91,3.97,2.80"
" 41/ 57/ 7,535.82,-1.69,-35.41,-50.44,2.49,2.80"
" 42/ 42/ 6,1555.31,-5.17,-1.67,2.19,-6.85,2.80"
" 42/ 42/ 7,996.84,-3.23,-1.06,1.40,-4.28,2.80"
