Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 56/ 56/ 6,553.84,3.98,55.92,-80.05,5.17,2.8
 56/ 72/ 6,538.72,3.98,55.92,76.52,-5.96,2.8
 57/ 57/ 6,553.84,-3.98,-55.92,80.05,-5.17,2.8
 57/ 73/ 6,538.72,-3.98,-55.92,-76.52,5.96,2.8
 58/ 58/ 6,1023.06,-7.35,-3.82,4.5,-9.68,2.8
 58/ 74/ 6,1007.94,-7.35,-3.82,-6.19,10.9,2.8
 59/ 59/ 6,1023.06,-7.35,3.82,-4.5,-9.68,2.8
 59/ 75/ 6,1007.94,-7.35,3.82,6.19,10.9,2.8
 60/ 60/ 6,553.84,-3.98,55.92,-80.05,-5.17,2.8
 60/ 76/ 6,538.72,-3.98,55.92,76.52,5.96,2.8
 61/ 61/ 6,315.08,-22.64,-32.49,46.77,-32.32,2.8
 61/ 77/ 6,299.96,-22.64,-32.49,-44.2,31.07,2.8
 62/ 62/ 6,581.1,-39.34,-2.2,2.49,-55.92,2.8
 62/ 78/ 6,565.98,-39.34,-2.2,-3.68,54.22,2.8
 63/ 63/ 6,581.1,-39.34,2.2,-2.49,-55.92,2.8
 63/ 79/ 6,565.98,-39.34,2.2,3.68,54.22,2.8
 64/ 64/ 6,315.08,-22.64,32.49,-46.77,-32.32,2.8
 64/ 80/ 6,299.96,-22.64,32.49,44.2,31.07,2.8
 65/ 65/ 6,146.75,31.54,-45.84,56.67,39.38,2.8
 65/ 81/ 6,131.63,31.54,-45.84,-71.69,-48.92,2.8
 66/ 66/ 6,277.96,53.37,-0.99,2.54,67.35,2.8
 66/ 82/ 6,262.84,53.37,-0.99,-0.22,-82.1,2.8
 67/ 67/ 6,277.96,53.37,0.99,-2.54,67.35,2.8
 67/ 83/ 6,262.84,53.37,0.99,0.22,-82.1,2.8
 68/ 68/ 6,146.75,31.54,45.84,-56.67,39.38,2.8
 68/ 84/ 6,131.63,31.54,45.84,71.69,-48.92,2.8
 69/ 69/ 6,264.26,4.24,-76.12,95.41,6.22,2.8
 69/ 85/ 6,249.14,4.24,-76.12,-117.74,-5.67,2.8
 70/ 70/ 6,496.95,8.31,-2.44,4.91,11.81,2.8
 70/ 86/ 6,481.83,8.31,-2.44,-1.93,-11.46,2.8
 71/ 71/ 6,496.95,8.31,2.44,-4.91,11.81,2.8
 71/ 87/ 6,481.83,8.31,2.44,1.93,-11.46,2.8
 72/ 72/ 6,264.26,4.24,76.12,-95.41,6.22,2.8
 72/ 88/ 6,249.14,4.24,76.12,117.74,-5.67,2.8
 73/ 73/ 6,264.26,-4.24,-76.12,95.41,-6.22,2.8
 73/ 89/ 6,249.14,-4.24,-76.12,-117.74,5.67,2.8
 74/ 74/ 6,496.95,-8.31,-2.44,4.91,-11.81,2.8
 74/ 90/ 6,481.83,-8.31,-2.44,-1.93,11.46,2.8
 75/ 75/ 6,496.95,-8.31,2.44,-4.91,-11.81,2.8
 75/ 91/ 6,481.83,-8.31,2.44,1.93,11.46,2.8
 76/ 76/ 6,264.26,-4.24,76.12,-95.41,-6.22,2.8
 76/ 92/ 6,249.14,-4.24,76.12,117.74,5.67,2.8
 77/ 77/ 6,146.75,-31.54,-45.84,56.67,-39.38,2.8
 77/ 93/ 6,131.63,-31.54,-45.84,-71.69,48.92,2.8
 78/ 78/ 6,277.96,-53.37,-0.99,2.54,-67.35,2.8
 78/ 94/ 6,262.84,-53.37,-0.99,-0.22,82.1,2.8
 79/ 79/ 6,277.96,-53.37,0.99,-2.54,-67.35,2.8
 79/ 95/ 6,262.84,-53.37,0.99,0.22,82.1,2.8
 80/ 80/ 6,146.75,-31.54,45.84,-56.67,-39.38,2.8
 80/ 96/ 6,131.63,-31.54,45.84,71.69,48.92,2.8
 81/ 17/ 6,0,0,80.79,-78.97,0,6
 81/ 18/ 6,0,0,-89.85,-106.17,0,6
 82/ 18/ 6,0,0,85.32,-102.02,0,6
 82/ 19/ 6,0,0,-85.32,-102.02,0,6
 83/ 19/ 6,0,0,89.85,-106.17,0,6
 83/ 20/ 6,0,0,-80.79,-78.97,0,6
 84/ 21/ 6,0,0,142.92,-145.16,0,6
 84/ 22/ 6,0,0,-157.86,-189.98,0,6
 85/ 22/ 6,0,0,150.39,-183.26,0,6
 85/ 23/ 6,0,0,-150.39,-183.26,0,6
 86/ 23/ 6,0,0,157.86,-189.98,0,6
 86/ 24/ 6,0,0,-142.92,-145.16,0,6
 87/ 25/ 6,0,0,142.92,-145.16,0,6
 87/ 26/ 6,0,0,-157.86,-189.98,0,6
 88/ 26/ 6,0,0,150.39,-183.26,0,6
 88/ 27/ 6,0,0,-150.39,-183.26,0,6
 89/ 27/ 6,0,0,157.86,-189.98,0,6
 89/ 28/ 6,0,0,-142.92,-145.16,0,6
 90/ 29/ 6,0,0,80.79,-78.97,0,6
 90/ 30/ 6,0,0,-89.85,-106.17,0,6
 91/ 30/ 6,0,0,85.32,-102.02,0,6
 91/ 31/ 6,0,0,-85.32,-102.02,0,6
 92/ 31/ 6,0,0,89.85,-106.17,0,6
 92/ 32/ 6,0,0,-80.79,-78.97,0,6
 93/ 33/ 6,0,0,83.4,-88.62,0,6
 93/ 34/ 6,0,0,-87.24,-100.15,0,6
