"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 3/ 19/ 38 (C),896.72,41.46,31.12,19.90,-41.96,3.30"
" 3/ 19/ 39 (C),731.33,-17.59,-41.07,-28.49,-5.24,3.30"
" 3/ 19/ 40 (C),806.61,10.05,-0.01,-0.03,-22.11,3.30"
" 4/ 4/ 22 (C),429.19,5.09,8.52,-9.37,5.60,3.30"
" 4/ 4/ 23 (C),669.60,8.22,13.79,-15.17,9.04,3.30"
" 4/ 4/ 24 (C),396.39,-20.86,33.07,-75.92,-60.18,3.30"
" 4/ 4/ 25 (C),434.30,22.78,-10.18,41.90,51.68,3.30"
" 4/ 4/ 26 (C),606.97,22.77,33.06,-75.92,51.66,3.30"
" 4/ 4/ 27 (C),223.72,-20.85,-10.18,41.90,-60.17,3.30"
" 4/ 4/ 28 (C),406.70,-12.89,26.71,-60.09,-40.80,3.30"
" 4/ 4/ 29 (C),444.61,30.75,-16.54,57.74,71.06,3.30"
" 4/ 4/ 30 (C),617.28,30.74,26.71,-60.08,71.04,3.30"
" 4/ 4/ 31 (C),234.02,-12.88,-16.53,57.73,-40.79,3.30"
" 4/ 4/ 32 (C),411.11,-8.90,22.45,-47.34,-29.76,3.30"
" 4/ 4/ 33 (C),424.22,14.41,-2.43,20.45,29.98,3.30"
" 4/ 4/ 34 (C),523.56,14.40,22.45,-47.34,29.97,3.30"
" 4/ 4/ 35 (C),311.77,-8.89,-2.43,20.45,-29.75,3.30"
" 4/ 4/ 36 (C),416.78,-4.52,18.96,-38.63,-19.10,3.30"
" 4/ 4/ 37 (C),429.89,18.79,-5.92,29.16,40.63,3.30"
" 4/ 4/ 38 (C),529.23,18.78,18.96,-38.63,40.63,3.30"
" 4/ 4/ 39 (C),317.43,-4.51,-5.92,29.15,-19.09,3.30"
" 4/ 4/ 40 (C),418.37,4.94,8.26,-9.09,5.44,3.30"
" 4/ 20/ 22 (C),419.28,5.09,8.52,18.74,-11.20,3.30"
" 4/ 20/ 23 (C),656.22,8.22,13.79,30.34,-18.07,3.30"
" 4/ 20/ 24 (C),386.47,-20.86,33.07,33.20,8.66,3.30"
" 4/ 20/ 25 (C),424.38,22.78,-10.18,8.30,-23.51,3.30"
" 4/ 20/ 26 (C),597.06,22.77,33.06,33.18,-23.48,3.30"
" 4/ 20/ 27 (C),213.80,-20.85,-10.18,8.31,8.63,3.30"
" 4/ 20/ 28 (C),396.78,-12.89,26.71,28.07,1.75,3.30"
" 4/ 20/ 29 (C),434.69,30.75,-16.54,3.17,-30.41,3.30"
" 4/ 20/ 30 (C),607.36,30.74,26.71,28.05,-30.39,3.30"
" 4/ 20/ 31 (C),224.11,-12.88,-16.53,3.18,1.72,3.30"
" 4/ 20/ 32 (C),401.20,-8.90,22.45,26.76,-0.39,3.30"
