"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 6/ 6/ 27 (C),1672.00,-180.99,-189.10,352.61,-329.84,3.30"
" 6/ 6/ 28 (C),1787.34,-198.53,191.61,-355.37,-361.84,3.30"
" 6/ 6/ 29 (C),1537.57,179.94,-203.16,378.66,328.68,3.30"
" 6/ 6/ 30 (C),1650.42,179.94,191.61,-355.37,328.68,3.30"
" 6/ 6/ 31 (C),1674.48,-198.53,-203.16,378.66,-361.84,3.30"
" 6/ 6/ 32 (C),1718.04,-83.47,95.21,-176.06,-151.92,3.30"
" 6/ 6/ 33 (C),1603.24,90.48,-86.24,161.32,165.47,3.30"
" 6/ 6/ 34 (C),1655.11,90.48,95.21,-176.06,165.47,3.30"
" 6/ 6/ 35 (C),1666.17,-83.47,-86.24,161.32,-151.92,3.30"
" 6/ 6/ 36 (C),1719.18,-91.53,88.75,-164.08,-166.63,3.30"
" 6/ 6/ 37 (C),1604.38,82.42,-92.70,173.30,150.76,3.30"
" 6/ 6/ 38 (C),1656.25,82.42,88.75,-164.08,150.76,3.30"
" 6/ 6/ 39 (C),1667.31,-91.53,-92.70,173.30,-166.63,3.30"
" 6/ 6/ 40 (C),1651.97,-0.53,1.26,-1.38,-0.58,3.30"
" 6/ 22/ 22 (C),1684.80,-0.54,1.29,2.85,1.20,3.30"
" 6/ 22/ 23 (C),2655.11,-0.87,2.09,4.59,1.92,3.30"
" 6/ 22/ 24 (C),1771.90,-180.99,205.67,297.28,267.43,3.30"
" 6/ 22/ 25 (C),1522.13,197.48,-189.10,-271.43,-290.98,3.30"
" 6/ 22/ 26 (C),1634.98,197.48,205.67,297.28,-290.98,3.30"
" 6/ 22/ 27 (C),1659.05,-180.99,-189.10,-271.43,267.43,3.30"
" 6/ 22/ 28 (C),1774.39,-198.53,191.61,276.95,293.30,3.30"
" 6/ 22/ 29 (C),1524.61,179.94,-203.16,-291.76,-265.11,3.30"
" 6/ 22/ 30 (C),1637.47,179.94,191.61,276.95,-265.11,3.30"
" 6/ 22/ 31 (C),1661.53,-198.53,-203.16,-291.76,293.30,3.30"
" 6/ 22/ 32 (C),1705.09,-83.47,95.21,138.13,123.54,3.30"
" 6/ 22/ 33 (C),1590.28,90.48,-86.24,-123.27,-133.12,3.30"
" 6/ 22/ 34 (C),1642.16,90.48,95.21,138.13,-133.12,3.30"
" 6/ 22/ 35 (C),1653.22,-83.47,-86.24,-123.27,123.54,3.30"
" 6/ 22/ 36 (C),1706.23,-91.53,88.75,128.79,135.43,3.30"
" 6/ 22/ 37 (C),1591.43,82.42,-92.70,-132.61,-121.23,3.30"
" 6/ 22/ 38 (C),1643.30,82.42,88.75,128.79,-121.23,3.30"
" 6/ 22/ 39 (C),1654.36,-91.53,-92.70,-132.61,135.43,3.30"
" 6/ 22/ 40 (C),1639.02,-0.53,1.26,2.77,1.16,3.30"
" 7/ 7/ 22 (C),1697.75,-0.54,-1.29,1.42,-0.60,3.30"
" 7/ 7/ 23 (C),2672.60,-0.87,-2.09,2.29,-0.96,3.30"
" 7/ 7/ 24 (C),1674.48,-198.53,203.16,-378.66,-361.84,3.30"
" 7/ 7/ 25 (C),1650.42,179.94,-191.61,355.37,328.68,3.30"
" 7/ 7/ 26 (C),1537.57,179.94,203.16,-378.66,328.68,3.30"
" 7/ 7/ 27 (C),1787.34,-198.53,-191.61,355.37,-361.84,3.30"
" 7/ 7/ 28 (C),1672.00,-180.99,189.10,-352.61,-329.84,3.30"
" 7/ 7/ 29 (C),1647.94,197.48,-205.67,381.42,360.69,3.30"
" 7/ 7/ 30 (C),1535.08,197.48,189.10,-352.61,360.69,3.30"
" 7/ 7/ 31 (C),1784.85,-180.99,-205.67,381.42,-329.84,3.30"
" 7/ 7/ 32 (C),1667.31,-91.53,92.70,-173.30,-166.63,3.30"
" 7/ 7/ 33 (C),1656.25,82.42,-88.75,164.08,150.76,3.30"
" 7/ 7/ 34 (C),1604.38,82.42,92.70,-173.30,150.76,3.30"
" 7/ 7/ 35 (C),1719.18,-91.53,-88.75,164.08,-166.63,3.30"
" 7/ 7/ 36 (C),1666.17,-83.47,86.24,-161.32,-151.92,3.30"
" 7/ 7/ 37 (C),1655.11,90.48,-95.21,176.06,165.47,3.30"
" 7/ 7/ 38 (C),1603.24,90.48,86.24,-161.32,165.47,3.30"
" 7/ 7/ 39 (C),1718.04,-83.47,-95.21,176.06,-151.92,3.30"
" 7/ 7/ 40 (C),1651.97,-0.53,-1.26,1.38,-0.58,3.30"
" 7/ 23/ 22 (C),1684.80,-0.54,-1.29,-2.85,1.20,3.30"
" 7/ 23/ 23 (C),2655.11,-0.87,-2.09,-4.59,1.92,3.30"
" 7/ 23/ 24 (C),1661.53,-198.53,203.16,291.76,293.30,3.30"
" 7/ 23/ 25 (C),1637.47,179.94,-191.61,-276.95,-265.11,3.30"
" 7/ 23/ 26 (C),1524.61,179.94,203.16,291.76,-265.11,3.30"
" 7/ 23/ 27 (C),1774.39,-198.53,-191.61,-276.95,293.30,3.30"
" 7/ 23/ 28 (C),1659.05,-180.99,189.10,271.43,267.43,3.30"
" 7/ 23/ 29 (C),1634.98,197.48,-205.67,-297.28,-290.98,3.30"
" 7/ 23/ 30 (C),1522.13,197.48,189.10,271.43,-290.98,3.30"
" 7/ 23/ 31 (C),1771.90,-180.99,-205.67,-297.28,267.43,3.30"
" 7/ 23/ 32 (C),1654.36,-91.53,92.70,132.61,135.43,3.30"
" 7/ 23/ 33 (C),1643.30,82.42,-88.75,-128.79,-121.23,3.30"
" 7/ 23/ 34 (C),1591.43,82.42,92.70,132.61,-121.23,3.30"
" 7/ 23/ 35 (C),1706.23,-91.53,-88.75,-128.79,135.43,3.30"
" 7/ 23/ 36 (C),1653.22,-83.47,86.24,123.27,123.54,3.30"
" 7/ 23/ 37 (C),1642.16,90.48,-95.21,-138.13,-133.12,3.30"
" 7/ 23/ 38 (C),1590.28,90.48,86.24,123.27,-133.12,3.30"
" 7/ 23/ 39 (C),1705.09,-83.47,-95.21,-138.13,123.54,3.30"
" 7/ 23/ 40 (C),1639.02,-0.53,-1.26,-2.77,1.16,3.30"
" 8/ 8/ 22 (C),909.68,-0.39,14.30,-15.73,-0.43,3.30"
" 8/ 8/ 23 (C),1411.59,-0.61,23.03,-25.33,-0.67,3.30"
" 8/ 8/ 24 (C),1344.12,-216.08,178.14,-351.15,-393.86,3.30"
" 8/ 8/ 25 (C),482.43,162.38,-138.97,297.46,296.66,3.30"
" 8/ 8/ 26 (C),1207.20,162.38,178.14,-351.15,296.66,3.30"
" 8/ 8/ 27 (C),619.35,-216.08,-138.97,297.46,-393.86,3.30"
" 8/ 8/ 28 (C),1301.58,-163.14,166.75,-328.02,-297.49,3.30"
" 8/ 8/ 29 (C),439.89,215.32,-150.36,320.59,393.03,3.30"
" 8/ 8/ 30 (C),1164.67,215.32,166.75,-328.02,393.03,3.30"
" 8/ 8/ 31 (C),576.81,-163.14,-150.36,320.59,-297.49,3.30"
" 8/ 8/ 32 (C),1099.81,-99.52,89.39,-169.65,-181.26,3.30"
" 8/ 8/ 33 (C),703.75,74.43,-56.37,128.47,136.13,3.30"
" 8/ 8/ 34 (C),1036.88,74.43,89.39,-169.65,136.13,3.30"
" 8/ 8/ 35 (C),766.68,-99.52,-56.37,128.47,-181.26,3.30"
" 8/ 8/ 36 (C),1080.26,-75.19,84.15,-159.02,-136.96,3.30"
" 8/ 8/ 37 (C),684.20,98.76,-61.61,139.10,180.42,3.30"
" 8/ 8/ 38 (C),1017.33,98.76,84.15,-159.02,180.42,3.30"
" 8/ 8/ 39 (C),747.13,-75.19,-61.61,139.10,-136.96,3.30"
" 8/ 8/ 40 (C),887.64,-0.38,13.89,-15.27,-0.42,3.30"
" 8/ 24/ 22 (C),896.73,-0.39,14.30,31.46,0.86,3.30"
" 8/ 24/ 23 (C),1394.11,-0.61,23.03,50.66,1.35,3.30"
" 8/ 24/ 24 (C),1331.17,-216.08,178.14,236.73,319.20,3.30"
" 8/ 24/ 25 (C),469.48,162.38,-138.97,-161.14,-239.21,3.30"
" 8/ 24/ 26 (C),1194.25,162.38,178.14,236.73,-239.21,3.30"
" 8/ 24/ 27 (C),606.40,-216.08,-138.97,-161.14,319.20,3.30"
" 8/ 24/ 28 (C),1288.63,-163.14,166.75,222.25,240.88,3.30"
" 8/ 24/ 29 (C),426.94,215.32,-150.36,-175.61,-317.53,3.30"
" 8/ 24/ 30 (C),1151.71,215.32,166.75,222.25,-317.53,3.30"
" 8/ 24/ 31 (C),563.86,-163.14,-150.36,-175.61,240.88,3.30"
" 8/ 24/ 32 (C),1086.86,-99.52,89.39,125.32,147.16,3.30"
" 8/ 24/ 33 (C),690.80,74.43,-56.37,-57.55,-109.50,3.30"
" 8/ 24/ 34 (C),1023.93,74.43,89.39,125.32,-109.50,3.30"
" 8/ 24/ 35 (C),753.73,-99.52,-56.37,-57.55,147.16,3.30"
" 8/ 24/ 36 (C),1067.31,-75.19,84.15,118.67,111.16,3.30"
" 8/ 24/ 37 (C),671.25,98.76,-61.61,-64.20,-145.50,3.30"
" 8/ 24/ 38 (C),1004.38,98.76,84.15,118.67,-145.50,3.30"
" 8/ 24/ 39 (C),734.18,-75.19,-61.61,-64.20,111.16,3.30"
" 8/ 24/ 40 (C),874.69,-0.38,13.89,30.55,0.84,3.30"
" 9/ 9/ 22 (C),909.68,0.39,-14.30,15.73,0.43,3.30"
" 9/ 9/ 23 (C),1411.59,0.61,-23.03,25.33,0.67,3.30"
" 9/ 9/ 24 (C),482.43,-162.38,138.97,-297.46,-296.66,3.30"
" 9/ 9/ 25 (C),1344.12,216.08,-178.14,351.15,393.86,3.30"
" 9/ 9/ 26 (C),619.35,216.08,138.97,-297.46,393.86,3.30"
" 9/ 9/ 27 (C),1207.20,-162.38,-178.14,351.15,-296.66,3.30"
" 9/ 9/ 28 (C),439.89,-215.32,150.36,-320.59,-393.03,3.30"
" 9/ 9/ 29 (C),1301.58,163.14,-166.75,328.02,297.49,3.30"
" 9/ 9/ 30 (C),576.81,163.14,150.36,-320.59,297.49,3.30"
" 9/ 9/ 31 (C),1164.67,-215.32,-166.75,328.02,-393.03,3.30"
" 9/ 9/ 32 (C),703.75,-74.43,56.37,-128.47,-136.13,3.30"
" 9/ 9/ 33 (C),1099.81,99.52,-89.39,169.65,181.26,3.30"
" 9/ 9/ 34 (C),766.68,99.52,56.37,-128.47,181.26,3.30"
" 9/ 9/ 35 (C),1036.88,-74.43,-89.39,169.65,-136.13,3.30"
" 9/ 9/ 36 (C),684.20,-98.76,61.61,-139.10,-180.42,3.30"
" 9/ 9/ 37 (C),1080.26,75.19,-84.15,159.02,136.96,3.30"
" 9/ 9/ 38 (C),747.13,75.19,61.61,-139.10,136.96,3.30"
" 9/ 9/ 39 (C),1017.33,-98.76,-84.15,159.02,-180.42,3.30"
" 9/ 9/ 40 (C),887.64,0.38,-13.89,15.27,0.42,3.30"
" 9/ 25/ 22 (C),896.73,0.39,-14.30,-31.46,-0.86,3.30"
