"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 5/ 5/ 25 (C),1251.05,247.06,-212.56,372.44,392.23,2.80"
" 5/ 5/ 26 (C),329.44,247.06,189.60,-362.70,392.23,2.80"
" 5/ 5/ 27 (C),1400.64,-183.22,-212.56,372.44,-290.56,2.80"
" 5/ 5/ 28 (C),528.99,-248.09,176.30,-338.60,-393.19,2.80"
" 5/ 5/ 29 (C),1301.02,182.19,-225.85,396.54,289.61,2.80"
" 5/ 5/ 30 (C),379.41,182.19,176.30,-338.60,289.61,2.80"
" 5/ 5/ 31 (C),1450.60,-248.09,-225.85,396.54,-393.19,2.80"
" 5/ 5/ 32 (C),701.12,-84.49,77.35,-157.56,-133.81,2.80"
" 5/ 5/ 33 (C),1055.96,113.28,-107.49,180.33,180.02,2.80"
" 5/ 5/ 34 (C),632.36,113.28,77.35,-157.56,180.02,2.80"
" 5/ 5/ 35 (C),1124.71,-84.49,-107.49,180.33,-133.81,2.80"
" 5/ 5/ 36 (C),724.08,-114.31,71.24,-146.49,-180.98,2.80"
" 5/ 5/ 37 (C),1078.93,83.47,-113.60,191.40,132.85,2.80"
" 5/ 5/ 38 (C),655.33,83.47,71.24,-146.49,132.85,2.80"
" 5/ 5/ 39 (C),1147.68,-114.31,-113.60,191.40,-180.98,2.80"
" 5/ 21/ 22 (C),896.70,-0.53,-18.66,-34.84,0.98,2.80"
" 5/ 21/ 23 (C),1394.06,-0.83,-30.06,-56.10,1.54,2.80"
" 5/ 21/ 24 (C),468.04,-183.22,189.60,168.17,222.45,2.80"
" 5/ 21/ 25 (C),1240.06,247.06,-212.56,-222.72,-299.54,2.80"
" 5/ 21/ 26 (C),318.45,247.06,189.60,168.17,-299.54,2.80"
" 5/ 21/ 27 (C),1389.65,-183.22,-212.56,-222.72,222.45,2.80"
" 5/ 21/ 28 (C),518.00,-248.09,176.30,155.04,301.46,2.80"
" 5/ 21/ 29 (C),1290.03,182.19,-225.85,-235.85,-220.54,2.80"
" 5/ 21/ 30 (C),368.42,182.19,176.30,155.04,-220.54,2.80"
" 5/ 21/ 31 (C),1439.61,-248.09,-225.85,-235.85,301.46,2.80"
" 5/ 21/ 32 (C),690.13,-84.49,77.35,59.01,102.76,2.80"
" 5/ 21/ 33 (C),1044.97,113.28,-107.49,-120.65,-137.16,2.80"
" 5/ 21/ 34 (C),621.37,113.28,77.35,59.01,-137.16,2.80"
" 5/ 21/ 35 (C),1113.72,-84.49,-107.49,-120.65,102.76,2.80"
" 5/ 21/ 36 (C),713.09,-114.31,71.24,52.98,139.07,2.80"
" 5/ 21/ 37 (C),1067.94,83.47,-113.60,-126.69,-100.85,2.80"
" 5/ 21/ 38 (C),644.34,83.47,71.24,52.98,-100.85,2.80"
" 5/ 21/ 39 (C),1136.69,-114.31,-113.60,-126.69,139.07,2.80"
" 6/ 6/ 22 (C),1697.56,-0.76,1.67,-1.56,-0.71,2.80"
" 6/ 6/ 23 (C),2672.78,-1.21,2.69,-2.51,-1.13,2.80"
" 6/ 6/ 24 (C),1805.41,-205.14,270.69,-438.39,-325.05,2.80"
