"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 12/ 62/ 8 (C),504.191,6.719,17.001,-23.465,9.358,2.800"
" 12/ 62/ 9 (C),476.843,6.255,15.726,-21.691,8.713,2.800"
" 12/ 62/ 13 (C),458.877,7.240,16.154,-22.229,9.989,2.800"
" 12/ 62/ 14 (C),456.523,4.621,13.514,-18.670,6.531,2.800"
" 12/ 95/ 6 (C),454.704,6.070,15.216,21.625,-8.541,2.800"
" 12/ 95/ 7 (C),693.453,9.321,23.459,33.325,-13.115,2.800"
" 12/ 95/ 8 (C),492.991,6.719,17.001,24.137,-9.454,2.800"
" 12/ 95/ 9 (C),465.643,6.255,15.726,22.342,-8.802,2.800"
" 12/ 95/ 13 (C),447.677,7.240,16.154,23.004,-10.283,2.800"
" 12/ 95/ 14 (C),445.323,4.621,13.514,19.169,-6.408,2.800"
" 13/ 93/ 6 (C),0.000,-0.000,45.480,-28.908,-0.000,3.675"
" 13/ 93/ 7 (C),0.000,-0.000,70.564,-45.266,-0.000,3.675"
" 13/ 93/ 8 (C),0.000,-0.000,51.326,-32.958,-0.000,3.675"
" 13/ 93/ 9 (C),0.000,-0.000,47.151,-30.065,-0.000,3.675"
" 13/ 93/ 13 (C),0.000,-0.000,43.635,-26.684,-0.000,3.675"
" 13/ 93/ 14 (C),0.000,0.000,44.820,-29.396,0.000,3.675"
" 13/ 94/ 6 (C),0.000,-0.000,-20.763,25.359,0.000,3.675"
" 13/ 94/ 7 (C),0.000,-0.000,-32.154,39.388,0.000,3.675"
" 13/ 94/ 8 (C),0.000,-0.000,-23.413,28.544,0.000,3.675"
" 13/ 94/ 9 (C),0.000,-0.000,-21.520,26.269,0.000,3.675"
" 13/ 94/ 13 (C),0.000,-0.000,-20.788,23.855,0.000,3.675"
" 13/ 94/ 14 (C),0.000,0.000,-19.603,25.498,-0.000,3.675"
" 14/ 89/ 6 (C),0.000,-0.000,37.685,-23.154,-0.000,3.725"
" 14/ 89/ 7 (C),0.000,-0.000,59.201,-36.819,-0.000,3.725"
" 14/ 89/ 8 (C),-0.000,-0.000,43.062,-26.839,-0.000,3.725"
" 14/ 89/ 9 (C),0.000,-0.000,39.221,-24.207,-0.000,3.725"
" 14/ 89/ 13 (C),0.000,-0.000,36.874,-23.289,-0.000,3.725"
" 14/ 89/ 14 (C),-0.000,0.000,36.191,-21.440,0.000,3.725"
" 14/ 94/ 6 (C),0.000,-0.000,-32.892,-14.227,0.000,3.725"
" 14/ 94/ 7 (C),0.000,-0.000,-51.270,-22.046,0.000,3.725"
" 14/ 94/ 8 (C),-0.000,-0.000,-37.227,-15.971,0.000,3.725"
" 14/ 94/ 9 (C),0.000,-0.000,-34.131,-14.725,0.000,3.725"
" 14/ 94/ 13 (C),0.000,-0.000,-31.622,-13.506,0.000,3.725"
" 14/ 94/ 14 (C),-0.000,0.000,-32.305,-14.201,-0.000,3.725"
" 15/ 88/ 6 (C),-0.000,0.000,21.917,-7.612,0.000,3.725"
" 15/ 88/ 7 (C),-0.000,0.000,33.105,-11.628,0.000,3.725"
" 15/ 88/ 8 (C),-0.000,0.000,24.131,-8.407,0.000,3.725"
" 15/ 88/ 9 (C),-0.000,0.000,22.550,-7.839,0.000,3.725"
" 15/ 88/ 13 (C),0.000,-0.000,24.341,-13.729,-0.000,3.725"
" 15/ 88/ 14 (C),-0.000,0.000,18.544,-1.154,0.000,3.725"
" 15/ 93/ 6 (C),-0.000,0.000,-26.406,-15.973,-0.000,3.725"
" 15/ 93/ 7 (C),-0.000,0.000,-39.728,-23.964,-0.000,3.725"
" 15/ 93/ 8 (C),-0.000,0.000,-29.048,-17.565,-0.000,3.725"
" 15/ 93/ 9 (C),-0.000,0.000,-27.161,-16.428,-0.000,3.725"
" 15/ 93/ 13 (C),0.000,-0.000,-22.942,-11.123,0.000,3.725"
" 15/ 93/ 14 (C),-0.000,0.000,-28.739,-20.141,-0.000,3.725"
" 16/ 60/ 6 (C),268.064,-0.505,-12.332,17.216,-0.770,2.800"
" 16/ 60/ 7 (C),402.302,-0.760,-19.097,26.659,-1.159,2.800"
" 16/ 60/ 8 (C),287.801,-0.592,-13.822,19.299,-0.898,2.800"
" 16/ 60/ 9 (C),273.703,-0.530,-12.758,17.811,-0.807,2.800"
" 16/ 60/ 13 (C),264.380,2.858,-11.484,16.042,3.928,2.800"
" 16/ 60/ 14 (C),263.289,-3.832,-12.542,17.497,-5.414,2.800"
" 16/ 93/ 6 (C),261.764,-0.505,-12.332,-17.314,0.645,2.800"
" 16/ 93/ 7 (C),393.797,-0.760,-19.097,-26.813,0.969,2.800"
" 16/ 93/ 8 (C),281.501,-0.592,-13.822,-19.402,0.760,2.800"
" 16/ 93/ 9 (C),267.403,-0.530,-12.758,-17.911,0.678,2.800"
" 16/ 93/ 13 (C),258.080,2.858,-11.484,-16.113,-4.074,2.800"
" 16/ 93/ 14 (C),256.989,-3.832,-12.542,-17.621,5.315,2.800"
" 17/ 91/ 6 (C),0.000,0.000,14.523,-4.114,0.000,2.775"
" 17/ 91/ 7 (C),0.000,0.000,21.548,-5.996,0.000,2.775"
" 17/ 91/ 8 (C),0.000,0.000,15.908,-4.644,0.000,2.775"
" 17/ 91/ 9 (C),0.000,0.000,14.919,-4.265,0.000,2.775"
" 17/ 91/ 13 (C),0.000,-0.000,11.461,-0.895,-0.000,2.775"
" 17/ 91/ 14 (C),-0.000,0.000,16.991,-7.106,0.000,2.775"
" 17/ 92/ 6 (C),0.000,0.000,-15.484,-5.447,-0.000,2.775"
" 17/ 92/ 7 (C),0.000,0.000,-23.177,-8.257,-0.000,2.775"
" 17/ 92/ 8 (C),0.000,0.000,-16.793,-5.872,-0.000,2.775"
" 17/ 92/ 9 (C),0.000,0.000,-15.858,-5.569,-0.000,2.775"
" 17/ 92/ 13 (C),0.000,-0.000,-17.968,-9.923,0.000,2.775"
" 17/ 92/ 14 (C),-0.000,0.000,-12.438,-0.789,-0.000,2.775"
" 18/ 59/ 6 (C),122.541,1.958,2.529,-3.469,2.606,2.800"
" 18/ 59/ 7 (C),179.859,3.031,3.869,-5.306,4.038,2.800"
" 18/ 59/ 8 (C),129.533,2.207,2.775,-3.808,2.946,2.800"
" 18/ 59/ 9 (C),124.539,2.029,2.599,-3.566,2.703,2.800"
" 18/ 59/ 13 (C),120.843,-0.484,4.489,-6.184,-0.754,2.800"
" 18/ 59/ 14 (C),121.243,4.294,0.463,-0.609,5.820,2.800"
" 18/ 92/ 6 (C),116.241,1.958,2.529,3.612,-2.876,2.800"
" 18/ 92/ 7 (C),171.354,3.031,3.869,5.528,-4.447,2.800"
" 18/ 92/ 8 (C),123.233,2.207,2.775,3.962,-3.235,2.800"
" 18/ 92/ 9 (C),118.239,2.029,2.599,3.712,-2.979,2.800"
" 18/ 92/ 13 (C),114.543,-0.484,4.489,6.385,0.603,2.800"
" 18/ 92/ 14 (C),114.943,4.294,0.463,0.688,-6.202,2.800"
" 19/ 90/ 6 (C),-0.000,0.000,33.702,-38.895,0.000,3.850"
" 19/ 90/ 7 (C),-0.000,0.000,50.977,-59.077,0.000,3.850"
" 19/ 90/ 8 (C),-0.000,0.000,37.084,-42.798,0.000,3.850"
" 19/ 90/ 9 (C),-0.000,0.000,34.668,-40.010,0.000,3.850"
" 19/ 90/ 13 (C),-0.000,-0.000,31.558,-35.307,-0.000,3.850"
" 19/ 90/ 14 (C),-0.000,0.000,34.395,-40.809,0.000,3.850"
" 19/ 91/ 6 (C),-0.000,0.000,-17.309,-7.339,-0.000,3.850"
" 19/ 91/ 7 (C),-0.000,0.000,-25.994,-10.986,-0.000,3.850"
" 19/ 91/ 8 (C),-0.000,0.000,-19.109,-8.197,-0.000,3.850"
" 19/ 91/ 9 (C),-0.000,0.000,-17.823,-7.584,-0.000,3.850"
" 19/ 91/ 13 (C),-0.000,-0.000,-18.342,-9.867,0.000,3.850"
" 19/ 91/ 14 (C),-0.000,0.000,-15.505,-4.445,-0.000,3.850"
" 20/ 58/ 6 (C),226.032,7.848,0.563,-0.586,10.890,2.800"
" 20/ 58/ 7 (C),339.049,12.344,0.881,-0.925,17.135,2.800"
" 20/ 58/ 8 (C),241.932,8.957,0.622,-0.650,12.442,2.800"
" 20/ 58/ 9 (C),230.575,8.165,0.580,-0.604,11.334,2.800"
" 20/ 58/ 13 (C),219.880,6.873,2.986,-3.967,9.589,2.800"
" 20/ 58/ 14 (C),225.369,8.347,-1.885,2.823,11.526,2.800"
" 20/ 91/ 6 (C),219.732,7.848,0.563,0.991,-11.084,2.800"
" 20/ 91/ 7 (C),330.544,12.344,0.881,1.543,-17.428,2.800"
" 20/ 91/ 8 (C),235.632,8.957,0.622,1.092,-12.636,2.800"
" 20/ 91/ 9 (C),224.275,8.165,0.580,1.020,-11.527,2.800"
" 20/ 91/ 13 (C),213.580,6.873,2.986,4.394,-9.656,2.800"
" 20/ 91/ 14 (C),219.069,8.347,-1.885,-2.454,-11.847,2.800"
" 21/ 89/ 6 (C),0.000,-0.000,2.369,28.906,-0.000,3.700"
" 21/ 89/ 7 (C),0.000,-0.000,3.400,43.730,-0.000,3.700"
" 21/ 89/ 8 (C),0.000,-0.000,2.848,31.144,-0.000,3.700"
" 21/ 89/ 9 (C),0.000,-0.000,2.506,29.546,-0.000,3.700"
" 21/ 89/ 13 (C),0.000,-0.000,0.630,31.418,-0.000,3.700"
" 21/ 89/ 14 (C),0.000,0.000,3.903,25.436,0.000,3.700"
" 21/ 90/ 6 (C),0.000,-0.000,-45.426,-50.748,0.000,3.700"
" 21/ 90/ 7 (C),0.000,-0.000,-68.618,-76.922,0.000,3.700"
" 21/ 90/ 8 (C),0.000,-0.000,-49.738,-55.604,0.000,3.700"
" 21/ 90/ 9 (C),0.000,-0.000,-46.658,-52.136,0.000,3.700"
" 21/ 90/ 13 (C),0.000,-0.000,-46.138,-52.772,0.000,3.700"
" 21/ 90/ 14 (C),0.000,0.000,-42.865,-46.644,-0.000,3.700"
" 22/ 57/ 6 (C),336.818,6.133,4.467,-6.482,8.519,2.800"
" 22/ 57/ 7 (C),507.472,9.721,6.729,-9.764,13.507,2.800"
" 22/ 57/ 8 (C),362.842,7.052,4.831,-7.011,9.810,2.800"
" 22/ 57/ 9 (C),344.253,6.396,4.571,-6.633,8.888,2.800"
" 22/ 57/ 13 (C),331.584,5.914,6.789,-9.703,8.211,2.800"
" 22/ 57/ 14 (C),330.898,5.959,1.990,-3.033,8.273,2.800"
" 22/ 90/ 6 (C),330.518,6.133,4.467,6.027,-8.655,2.800"
" 22/ 90/ 7 (C),498.967,9.721,6.729,9.076,-13.713,2.800"
" 22/ 90/ 8 (C),356.542,7.052,4.831,6.516,-9.935,2.800"
" 22/ 90/ 9 (C),337.953,6.396,4.571,6.167,-9.020,2.800"
" 22/ 90/ 13 (C),325.284,5.914,6.789,9.306,-8.348,2.800"
" 22/ 90/ 14 (C),324.598,5.959,1.990,2.539,-8.413,2.800"
" 23/ 88/ 6 (C),-0.000,-0.000,41.227,-32.879,-0.000,3.675"
" 23/ 88/ 7 (C),-0.000,-0.000,62.309,-49.904,-0.000,3.675"
" 23/ 88/ 8 (C),-0.000,-0.000,45.137,-35.971,-0.000,3.675"
" 23/ 88/ 9 (C),-0.000,-0.000,42.344,-33.762,-0.000,3.675"
" 23/ 88/ 13 (C),-0.000,-0.000,38.452,-27.943,-0.000,3.675"
" 23/ 88/ 14 (C),0.000,0.000,42.327,-36.489,0.000,3.675"
" 23/ 89/ 6 (C),-0.000,-0.000,-6.036,31.785,0.000,3.675"
" 23/ 89/ 7 (C),-0.000,-0.000,-8.890,48.253,0.000,3.675"
" 23/ 89/ 8 (C),-0.000,-0.000,-6.853,34.375,0.000,3.675"
" 23/ 89/ 9 (C),-0.000,-0.000,-6.269,32.525,0.000,3.675"
" 23/ 89/ 13 (C),-0.000,-0.000,-7.798,28.382,0.000,3.675"
" 23/ 89/ 14 (C),0.000,0.000,-3.923,34.077,-0.000,3.675"
" 24/ 56/ 6 (C),162.991,7.256,-0.792,1.282,9.976,2.800"
" 24/ 56/ 7 (C),244.191,11.502,-1.242,2.000,15.822,2.800"
" 24/ 56/ 8 (C),173.159,8.354,-0.885,1.428,11.503,2.800"
" 24/ 56/ 9 (C),165.896,7.570,-0.818,1.324,10.412,2.800"
" 24/ 56/ 13 (C),161.665,7.640,1.656,-2.125,10.440,2.800"
" 24/ 56/ 14 (C),159.960,6.402,-3.200,4.627,8.857,2.800"
" 24/ 89/ 6 (C),156.691,7.256,-0.792,-0.935,-10.341,2.800"
" 24/ 89/ 7 (C),235.686,11.502,-1.242,-1.478,-16.383,2.800"
" 24/ 89/ 8 (C),166.859,8.354,-0.885,-1.050,-11.888,2.800"
" 24/ 89/ 9 (C),159.596,7.570,-0.818,-0.968,-10.783,2.800"
" 24/ 89/ 13 (C),155.365,7.640,1.656,2.511,-10.952,2.800"
" 24/ 89/ 14 (C),153.660,6.402,-3.200,-4.332,-9.068,2.800"
" 25/ 55/ 6 (C),199.349,3.492,-11.543,16.010,4.810,2.800"
" 25/ 55/ 7 (C),296.445,5.392,-17.570,24.368,7.428,2.800"
" 25/ 55/ 8 (C),213.079,3.900,-12.673,17.579,5.375,2.800"
" 25/ 55/ 9 (C),203.272,3.609,-11.866,16.458,4.972,2.800"
" 25/ 55/ 13 (C),198.528,6.004,-9.406,13.057,8.264,2.800"
" 25/ 55/ 14 (C),194.286,0.806,-13.197,18.290,1.115,2.800"
" 25/ 88/ 6 (C),193.049,3.492,-11.543,-16.312,-4.968,2.800"
" 25/ 88/ 7 (C),287.940,5.392,-17.570,-24.829,-7.669,2.800"
" 25/ 88/ 8 (C),206.779,3.900,-12.673,-17.905,-5.544,2.800"
" 25/ 88/ 9 (C),196.972,3.609,-11.866,-16.767,-5.132,2.800"
" 25/ 88/ 13 (C),192.228,6.004,-9.406,-13.279,-8.547,2.800"
" 25/ 88/ 14 (C),187.986,0.806,-13.197,-18.661,-1.142,2.800"
" 26/ 86/ 6 (C),0.000,-0.000,-28.179,120.211,-0.000,3.775"
