Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 120/ 39/ 6,0,0,-63.31,-15.41,0,2.775
 121/ 36/ 6,0,0,360.67,-84.83,0,0.4
 121/ 39/ 6,0,0,358.29,58.88,0,0.4
 122/ 37/ 6,0,0,115.54,-63.24,0,1.35
 122/ 38/ 6,0,0,89.81,78.01,0,1.35
 123/ 30/ 6,0,0,45.53,-20.96,0,2
 123/ 37/ 6,0,0,-6.61,26.51,0,2
 124/ 32/ 6,0,0,-42.93,9.08,0,1.6
 124/ 36/ 6,0,0,-61.45,-72.63,0,1.6
 125/ 34/ 6,0,0,-48.01,103.31,0,2.35
 125/ 35/ 6,0,0,-99.64,-75.95,0,2.35
 126/ 28/ 6,0,0,76.31,-51.73,0,1.65
 126/ 35/ 6,0,0,39.01,49.02,0,1.65
 127/ 33/ 6,0,0,100.27,-87.23,0,2.675
 127/ 34/ 6,0,0,37.54,104.62,0,2.675
 128/ 26/ 6,0,0,7.55,-16.69,0,1.65
 128/ 33/ 6,0,0,-7.53,-16.68,0,1.65
 129/ 31/ 6,0,0,13.45,36.82,0,2.775
 129/ 32/ 6,0,0,-57.74,-34.38,0,2.775
 130/ 25/ 6,0,0,27.44,-8.06,0,3.725
 130/ 32/ 6,0,0,-32.2,-16.93,0,3.725
 131/ 30/ 6,0,0,93.84,-63.68,0,1.35
 131/ 31/ 6,0,0,63.43,42.11,0,1.35
 132/ 24/ 6,0,0,61.7,-37.37,0,3.725
 132/ 31/ 6,0,0,-49.98,-15.53,0,3.725
 133/ 9/ 6,958.72,0.93,-5.01,6.46,0.14,3.05
 133/ 30/ 6,952.29,0.93,-5.01,-9.62,-2.06,3.05
 134/ 29/ 6,0,0,32.51,-8.94,0,2.5
 134/ 30/ 6,0,0,-58.02,-40.52,0,2.5
 135/ 8/ 6,637.84,-4.88,-2.31,3.45,-5.76,3.05
 135/ 29/ 6,631.41,-4.88,-2.31,-4.13,9.44,3.05
 136/ 28/ 6,0,0,65.95,-60.61,0,2.35
 136/ 29/ 6,0,0,-16.27,-1.9,0,2.35
 137/ 23/ 6,0,0,53.62,-24.96,0,3.725
 137/ 29/ 6,0,0,-61.45,-39.54,0,3.725
 138/ 7/ 6,1281.21,1.37,11.45,-10.01,0.63,3.05
 138/ 28/ 6,1271.94,1.37,11.45,23.84,-3.14,3.05
 139/ 27/ 6,0,0,-96.15,52.84,0,1.35
 139/ 28/ 6,0,0,-126.88,-96.82,0,1.35
 140/ 26/ 6,0,0,79.13,-49.76,0,3.675
 140/ 27/ 6,0,0,-26.77,61.03,0,3.675
 141/ 21/ 6,0,0,45.68,-6.62,0,3.725
 141/ 27/ 6,0,0,-69.37,-50.74,0,3.725
 142/ 20/ 6,0,0,30.75,-15.85,0,3.725
 142/ 26/ 6,0,0,-32.27,-18.69,0,3.725
 143/ 24/ 6,0,0,26.16,-21.85,0,2.775
 143/ 25/ 6,0,0,-10.91,-0.69,0,2.775
 144/ 4/ 6,575.1,7.05,1.01,-0.4,6.49,3.05
 144/ 24/ 6,568.67,7.05,1.01,2.37,-14.56,3.05
 145/ 23/ 6,0,0,25.07,0.04,0,3.85
 145/ 24/ 6,0,0,-41.82,-32.2,0,3.85
 146/ 3/ 6,652.7,5.03,-7.7,8.82,4.71,3.05
 146/ 23/ 6,646.26,5.03,-7.7,-15.02,-10.29,3.05
 147/ 22/ 6,0,0,104.53,-151.72,0,2.35
 147/ 23/ 6,0,0,59.93,28.96,0,2.35
 148/ 21/ 6,0,0,-272.85,183.53,0,1.35
 148/ 22/ 6,0,0,-290.51,-193.67,0,1.35
 149/ 2/ 6,401.48,1.87,20.68,-20.89,1.57,3.05
 149/ 22/ 6,395.04,1.87,20.68,41.95,-4.01,3.05
 150/ 20/ 6,0,0,88.42,-83.31,0,3.675
 150/ 21/ 6,0,0,26.92,128.61,0,3.675
 151/ 185/ 6,0,0,-16,94.41,0,3.775
 151/ 186/ 6,0,0,-75.04,-77.43,0,3.775
 152/ 178/ 6,0,0,23.2,-7.95,0,3.525
 152/ 186/ 6,0,0,-29.14,-18.41,0,3.525
 153/ 153/ 6,110.08,-11.53,48.36,-62.42,-15.27,2.8
 153/ 186/ 6,104.18,-11.53,48.36,72.66,17.37,2.8
 154/ 184/ 6,0,0,42.12,31.7,0,2.15
 154/ 185/ 6,0,0,20.17,98.66,0,2.15
 155/ 176/ 6,0,0,45.92,-11.36,0,3.525
 155/ 185/ 6,0,0,-41.98,-4.41,0,3.525
 156/ 152/ 6,11.71,-6.86,-3.11,3.3,-9.12,2.8
 156/ 185/ 6,5.81,-6.86,-3.11,-5.44,10.1,2.8
 157/ 183/ 6,0,0,117.78,-138.29,0,1.825
 157/ 184/ 6,0,0,101.15,61.48,0,1.825
 158/ 175/ 6,0,0,30.73,50.29,0,3.525
 158/ 184/ 6,0,0,-59.03,-12.69,0,3.525
 159/ 182/ 6,0,0,23.23,-8.26,0,2
 159/ 183/ 6,0,0,-4.89,6.21,0,2
 160/ 150/ 6,128.58,-1.38,-50.46,69.79,-2.24,2.8
 160/ 183/ 6,122.67,-1.38,-50.46,-71.88,1.83,2.8
 161/ 181/ 6,0,0,-65.8,2.23,0,1.225
 161/ 182/ 6,0,0,-79.54,-84.72,0,1.225
 162/ 149/ 6,126.51,1.42,15.8,-25.6,1.83,2.8
 162/ 182/ 6,118.01,1.42,15.8,18.31,-1.96,2.8
 163/ 180/ 6,0,0,-21.93,65.35,0,2.35
 163/ 181/ 6,0,0,-47.51,-16.23,0,2.35
 164/ 172/ 6,0,0,47.79,-29.28,0,2.7
 164/ 181/ 6,0,0,-18.29,0.89,0,2.7
 165/ 179/ 6,0,0,65.5,-52.3,0,2.675
 165/ 180/ 6,0,0,33.45,80.04,0,2.675
 166/ 167/ 6,0,0,57.69,-32.5,0,4.325
 166/ 180/ 6,0,0,-58.99,-35.33,0,4.325
 167/ 147/ 6,9.52,-17.3,-10.14,14.76,-22.41,2.8
 167/ 180/ 6,3.62,-17.3,-10.14,-13.65,26.04,2.8
 168/ 166/ 6,0,0,35.16,-22.76,0,4.325
 168/ 179/ 6,0,0,-31.56,-14.96,0,4.325
 169/ 146/ 6,102.96,-11.2,-35.39,46.57,-14.33,2.8
 169/ 179/ 6,97.06,-11.2,-35.39,-52.78,17.05,2.8
 170/ 177/ 6,0,0,-2.65,60.48,0,2.775
 170/ 178/ 6,0,0,-77.61,-63.05,0,2.775
 171/ 171/ 6,0,0,-1.26,12.35,0,2.45
 171/ 178/ 6,0,0,-28.75,-24.41,0,2.45
 172/ 145/ 6,135.48,-3.62,38.52,-50.71,-5.37,2.8
 172/ 178/ 6,129.57,-3.62,38.52,56.84,5.19,2.8
 173/ 176/ 6,0,0,-24.45,57.28,0,1
 173/ 177/ 6,0,0,-39.86,25.42,0,1
 174/ 170/ 6,0,0,63.86,-64.76,0,2.45
 174/ 177/ 6,0,0,20.19,38.2,0,2.45
 175/ 144/ 6,22.93,24.93,16.25,-22.67,33.18,2.8
 175/ 177/ 6,17.02,24.93,16.25,22.78,-36.57,2.8
 176/ 175/ 6,0,0,58.14,-30.26,0,2.15
 176/ 176/ 6,0,0,21.47,58.47,0,2.15
 177/ 173/ 6,0,0,107.61,-68.69,0,1.175
 177/ 175/ 6,0,0,88.87,48.57,0,1.175
 178/ 173/ 6,0,0,-106.75,135.64,0,1.8
 178/ 174/ 6,0,0,-147.67,-97.91,0,1.8
 179/ 169/ 6,0,0,-100.06,75.56,0,1.275
 179/ 174/ 6,0,0,-124.74,-68.72,0,1.275
 180/ 141/ 6,286.22,-15.75,31.07,-40.79,-21,2.8
 180/ 174/ 6,277.71,-15.75,31.07,45.64,23.77,2.8
 181/ 172/ 6,0,0,93.52,-87.77,0,3.05
 181/ 173/ 6,0,0,0.86,75.6,0,3.05
 182/ 168/ 6,0,0,-44.64,51.83,0,1.625
 182/ 172/ 6,0,0,-85.5,-54.66,0,1.625
 183/ 139/ 6,232.72,-0.69,-16.29,23.28,-0.59,2.8
 183/ 172/ 6,226.82,-0.69,-16.29,-22.78,1.65,2.8
 184/ 170/ 6,0,0,11.05,54.7,0,2.775
 184/ 171/ 6,0,0,-56.54,-16.15,0,2.775
 185/ 165/ 6,0,0,10.98,-12.04,0,2
 185/ 171/ 6,0,0,-8.43,-9.49,0,2
 186/ 138/ 6,69.61,-2.52,17.86,-23.76,-3.58,2.8
 186/ 171/ 6,63.71,-2.52,17.86,26.14,3.71,2.8
 187/ 169/ 6,0,0,98,-52.1,0,1.35
 187/ 170/ 6,0,0,74.91,66.98,0,1.35
 188/ 163/ 6,0,0,44.77,-21.48,0,2
 188/ 169/ 6,0,0,-2.06,28.93,0,2
 189/ 167/ 6,0,0,-30.2,74.8,0,2.35
 189/ 168/ 6,0,0,-77.36,-56.77,0,2.35
 190/ 161/ 6,0,0,66.97,-42.39,0,1.65
 190/ 168/ 6,0,0,32.72,44.9,0,1.65
 191/ 166/ 6,0,0,75.91,-54.67,0,2.675
 191/ 167/ 6,0,0,18.67,78.62,0,2.675
 192/ 134/ 6,14.73,14.26,-4.17,6.85,18.5,2.8
 192/ 167/ 6,8.82,14.26,-4.17,-4.85,-21.43,2.8
 193/ 159/ 6,0,0,7.6,-17.58,0,1.65
 193/ 166/ 6,0,0,-6.47,-16.65,0,1.65
