0.400,0.991,0.895,0.803,0.741,0.706,0.730,0.798,0.944,1.103,1.272,1.451,1.636
0.410,1.016,0.920,0.828,0.766,0.731,0.756,0.824,0.971,1.130,1.300,1.478,1.662
0.420,1.041,0.945,0.854,0.791,0.756,0.781,0.850,0.998,1.158,1.327,1.505,1.689
0.430,1.066,0.970,0.879,0.816,0.781,0.807,0.876,1.025,1.184,1.355,1.532,1.716
0.440,1.091,0.995,0.904,0.841,0.806,0.832,0.902,1.051,1.211,1.381,1.559,1.743
0.450,1.116,1.020,0.929,0.866,0.831,0.857,0.928,1.078,1.239,1.409,1.586,1.769
0.460,1.141,1.046,0.954,0.891,0.856,0.883,0.954,1.104,1.266,1.436,1.613,1.796
0.470,1.167,1.070,0.979,0.916,0.881,0.908,0.980,1.131,1.293,1.463,1.640,1.823
0.480,1.192,1.096,1.003,0.941,0.906,0.933,1.006,1.158,1.319,1.490,1.667,1.850
0.490,1.217,1.120,1.029,0.966,0.931,0.959,1.031,1.185,1.347,1.517,1.694,1.876
0.500,1.242,1.146,1.053,0.991,0.956,0.984,1.057,1.211,1.373,1.544,1.721,1.903
0.510,1.267,1.171,1.079,1.016,0.981,1.009,1.083,1.237,1.400,1.571,1.748,1.930
0.520,1.292,1.196,1.103,1.041,1.006,1.034,1.109,1.264,1.427,1.598,1.774,1.956
0.530,1.317,1.221,1.129,1.066,1.031,1.059,1.134,1.290,1.454,1.625,1.801,1.983
0.540,1.342,1.246,1.153,1.091,1.056,1.085,1.160,1.316,1.480,1.651,1.828,2.010
0.550,1.367,1.271,1.179,1.116,1.081,1.110,1.185,1.343,1.507,1.678,1.854,2.036
0.560,1.392,1.296,1.204,1.141,1.106,1.135,1.211,1.369,1.533,1.705,1.882,2.063
0.570,1.417,1.321,1.229,1.166,1.131,1.161,1.237,1.395,1.560,1.731,1.908,2.090
0.580,1.443,1.346,1.254,1.191,1.156,1.186,1.262,1.421,1.586,1.758,1.935,2.116
0.590,1.467,1.371,1.279,1.216,1.181,1.211,1.288,1.447,1.613,1.785,1.961,2.143
